Site,SubSite,Species,CaptureDate,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
JonesPond,1,ANBO,5/2/2018,146125343A,F,,71,48.5,Y,0,1800200262,pos,2659.30,18ARMI0715,,0,0,,
JonesPond,1,ANBO,5/3/2018,146125343A,F,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,146125343A,F,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/16/2020,146152374A,M,,82,47.6,Y,0,2001800018,pos,5267.46,,,0,0,,
JonesPond,1,ANBO,5/9/2019,146152374A,M,,69,44.9,Y,0,1902400159,pos,1679.97,,,0,0,,
JonesPond,1,ANBO,5/14/2019,146152374A,M,,69,44.9,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,146152374A,M,,68,39.5,Y,0,1800200263,neg,0,18ARMI0687,,0,0,,
JonesPond,1,ANBO,5/3/2018,146152374A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/17/2020,146152374A,M,,,,Y,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/4/2018,146152374A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/18/2020,146152374A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/2/2018,146158663A,M,,75,51.2,Y,0,1800200266,neg,0,18ARMI0710,,0,0,,
JonesPond,1,ANBO,5/3/2018,146158663A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,146158663A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/9/2019,147254655A,M,,74,53.7,Y,0,1902400124,pos,4087.98,19ARMI1383,,0,0,,
JonesPond,1,ANBO,5/3/2018,147335657A,M,,75,48.4,Y,0,1800200202,neg,0,18ARMI0567,,0,0,,
JonesPond,1,ANBO,5/4/2018,147335657A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147336172A,M,,68,47.6,Y,0,1800200294,neg,0,18ARMI0697,,0,0,,
JonesPond,1,ANBO,5/3/2018,147336172A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147336172A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147336217A,M,,68,41.9,Y,0,1800200270,neg,0,18ARMI0722,,0,0,,
JonesPond,1,ANBO,5/3/2018,147336217A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147336217A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147336445A,M,,84,66.2,Y,0,1800200299,neg,0,18ARMI0562,,0,0,,
JonesPond,1,ANBO,5/3/2018,147336445A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147336445A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/11/2021,147336616A,M,,84,49.4,Y,0,2100500327,pos,6989.05,21ARMI1076,Gave LR2,0,0,,
JonesPond,1,ANBO,5/13/2021,147336616A,M,,74,44.8,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/3/2018,147336694A,M,,69,32.1,Y,0,1800200215,neg,0,18ARMI0550,,0,0,,
JonesPond,1,ANBO,5/4/2018,147336694A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/16/2020,147336725A,F,,116,149.2,Y,0,2001800017,pos,856.27,20ARMI0593,gravid,0,0,,
JonesPond,1,ANBO,5/17/2020,147336725A,F,,,,N,,,,,,"In amplexus with # 19, caught on 5/16/20",0,0,,
JonesPond,1,ANBO,5/17/2020,147337363A,F,,83,68,Y,0,2001800023,neg,0,20ARMI0435,gravid,0,0,,
JonesPond,1,ANBO,5/18/2020,147337363A,F,,,,N,,,,,,caught on 5/17/20,0,0,,
JonesPond,1,ANBO,5/10/2021,147337370A,M,,85,52.2,Y,0,2100400073,neg,0,,Has LR2,0,0,,
JonesPond,1,ANBO,5/11/2021,147337370A,M,,77,51,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/13/2021,147337370A,M,,72,48.1,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/16/2020,147337370A,M,,74,43.1,Y,0,2001800011,neg,0,,,0,0,,
JonesPond,1,ANBO,5/3/2018,147337370A,M,,69,41.6,Y,0,1800200219,pos,12304.20,18ARMI0527,,0,0,,
JonesPond,1,ANBO,5/14/2019,147337370A,M,,70,19.4,N,,,,,,New for 2019. Forgot Bd swabs so not sampled.,0,0,,
JonesPond,1,ANBO,5/4/2018,147337370A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/17/2020,147337370A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/18/2020,147337370A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/25/2020,147337370A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/11/2021,147337393A,M,,78,48.6,Y,0,2100500326,pos,1385.31,21ARMI1051,Gave LR2,0,0,,
JonesPond,1,ANBO,5/13/2021,147337393A,M,,72,47.2,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/11/2021,147337764A,M,,91,58,Y,0,2100500337,pos,1865.85,21ARMI1071,"Gave LR2, RR2 missing, no tag",0,0,,
JonesPond,1,ANBO,5/13/2021,147337764A,M,,70,57.3,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/17/2020,147337790A,F,,86,83,Y,0,2001800003,pos,79.39,20ARMI1787,gravid,0,0,,
JonesPond,1,ANBO,5/2/2018,147338217A,M,,78,59.7,Y,0,1800200298,neg,0,18ARMI0718,,0,0,,
JonesPond,1,ANBO,5/3/2018,147338217A,M,,,,N,,,,,,,0,0,,
