Site,SubSite,SUBDIST,SUBSITE,SUBCON,COUNTY,REGION,STATE,LAT,LONG,Precip_Mean.2017,Precip_SD.2017,Temp_Mean.2017,Temp_SD.2017,Precip_Mean.2018,Precip_SD.2018,Temp_Mean.2018,Temp_SD.2018,Precip_Mean.2019,Precip_SD.2019,Temp_Mean.2019,Temp_SD.2019,Precip_Mean.2020,Precip_SD.2020,Temp_Mean.2020,Temp_SD.2020,Precip_Mean.2021,Precip_SD.2021,Temp_Mean.2021,Temp_SD.2021
EmmaCarlin,1,1,Y,Y,Jefferson,MW,WI,42.870991,-88.547241,3.23624657534247,7.78987303247688,8.89647945205479,10.5057193935274,3.40923287671233,7.70190874465571,7.96669863013699,11.5563685223954,3.19594520547945,6.98770289546079,7.52742465753425,11.5698014136151,2.5893698630137,6.11055071956219,8.76238356164384,10.1922445503115,1.64895890410959,4.22418683389444,9.21102739726027,11.4878543171662
EmmaCarlin,2,1,Y,N,Jefferson,MW,WI,42.871282,-88.546756,3.23624657534247,7.78987303247688,8.89647945205479,10.5057193935274,3.40923287671233,7.70190874465571,7.96669863013699,11.5563685223954,3.19594520547945,6.98770289546079,7.52742465753425,11.5698014136151,2.5893698630137,6.11055071956219,8.76238356164384,10.1922445503115,1.64895890410959,4.22418683389444,9.21102739726027,11.4878543171662
EmmaCarlin,3,1,Y,N,Jefferson,MW,WI,42.871451,-88.547209,3.23624657534247,7.78987303247688,8.89647945205479,10.5057193935274,3.40923287671233,7.70190874465571,7.96669863013699,11.5563685223954,3.19594520547945,6.98770289546079,7.52742465753425,11.5698014136151,2.5893698630137,6.11055071956219,8.76238356164384,10.1922445503115,1.64895890410959,4.22418683389444,9.21102739726027,11.4878543171662
MudLake,1,1,Y,N,Sheboygan,MW,WI,43.416846,-89.276810,2.75101369863014,5.5349228244745,8.28934246575342,10.8931505841459,3.61008219178082,8.10963974917245,7.58879452054795,11.9636579118069,3.30032876712329,7.27695371609032,7.06221917808219,11.9301739475526,2.92178082191781,8.50492290254313,8.39171232876712,10.6004600906777,1.84320547945205,4.77859379448778,8.81087671232877,11.6995937716474
MudLake,2,1,Y,N,Sheboygan,MW,WI,43.415929,-89.276253,2.75101369863014,5.5349228244745,8.28934246575342,10.8931505841459,3.61008219178082,8.10963974917245,7.58879452054795,11.9636579118069,3.30032876712329,7.27695371609032,7.06221917808219,11.9301739475526,2.92178082191781,8.50492290254313,8.39171232876712,10.6004600906777,1.84320547945205,4.77859379448778,8.81087671232877,11.6995937716474
MudLake,3,1,Y,N,Sheboygan,MW,WI,43.418418,-89.283169,2.75101369863014,5.5349228244745,8.28934246575342,10.8931505841459,3.61008219178082,8.10963974917245,7.58879452054795,11.9636579118069,3.30032876712329,7.27695371609032,7.06221917808219,11.9301739475526,2.92178082191781,8.50492290254313,8.39171232876712,10.6004600906777,1.84320547945205,4.77859379448778,8.81087671232877,11.6995937716474
ScotiaBarrens,A11,1,Y,Y,Centre,NE,PA,40.779451,-78.001914,3.16005479452055,6.74550741802717,9.53943835616438,9.58159141899209,4.73843835616438,9.3132847939634,9.24347945205479,10.6124504336325,3.27205479452055,6.4279148172707,9.26428767123288,9.96825184377201,2.90109589041096,6.73439179597229,10.2823698630137,9.11694040805545,3.31449315068493,7.52556529789208,10.6390136986301,9.50375198391613
ScotiaBarrens,P1,1,Y,Y,Centre,NE,PA,40.778000,-78.007700,3.16005479452055,6.74550741802717,9.53943835616438,9.58159141899209,4.73843835616438,9.3132847939634,9.24347945205479,10.6124504336325,3.27205479452055,6.4279148172707,9.26428767123288,9.96825184377201,2.90109589041096,6.73439179597229,10.2823698630137,9.11694040805545,3.31449315068493,7.52556529789208,10.6390136986301,9.50375198391613
ScotiaBarrens,SC37,1,Y,Y,Centre,NE,PA,40.780310,-78.003850,3.16005479452055,6.74550741802717,9.53943835616438,9.58159141899209,4.73843835616438,9.3132847939634,9.24347945205479,10.6124504336325,3.27205479452055,6.4279148172707,9.26428767123288,9.96825184377201,2.90109589041096,6.73439179597229,10.2823698630137,9.11694040805545,3.31449315068493,7.52556529789208,10.6390136986301,9.50375198391613
ScotiaBarrens,SC38,1,Y,Y,Centre,NE,PA,40.780850,-78.003390,3.16005479452055,6.74550741802717,9.53943835616438,9.58159141899209,4.73843835616438,9.3132847939634,9.24347945205479,10.6124504336325,3.27205479452055,6.4279148172707,9.26428767123288,9.96825184377201,2.90109589041096,6.73439179597229,10.2823698630137,9.11694040805545,3.31449315068493,7.52556529789208,10.6390136986301,9.50375198391613
