Incoming_IDCode,MeHg_conc_ppb,MeHg_conc_unit,MeHg_ww_dw_basis,TissueType,CollectionDate,Species,ScientificName,CreatureType,State,Region,Site
19ARMI2515,78.1,ppb,dw,tail clip,7/15/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0022,167,ppb,dw,tail clip,6/7/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0044,184,ppb,dw,tail clip,6/7/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0024,182,ppb,dw,tail clip,6/6/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0051,153,ppb,dw,tail clip,6/6/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI2485,127,ppb,dw,tail clip,6/6/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI2518,95.7,ppb,dw,tail clip,6/6/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0001,140,ppb,dw,tail clip,6/6/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0032,129,ppb,dw,tail clip,6/6/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI2514,146,ppb,dw,tail clip,6/6/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1505,130,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1492,145,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1510,164,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1476,168,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1466,182,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1453,172,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1489,121,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1481,208,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1501,144,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1478,125,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1508,171,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1471,167,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1470,177,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1483,246,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1482,141,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
18ARMI1465,118,ppb,dw,tail clip,6/6/18,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI2491,151,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0046,179,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI2506,129,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI2501,150,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0039,169,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0040,150,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0008,165,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0034,167,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0016,198,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0013,133,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0007,238,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI0010,172,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
19ARMI2516,153,ppb,dw,tail clip,6/5/19,TATO,Taricha torosa,newt/salamander,California,SW SoCal,BoulderCreek
20ARMI1810,60.6,ppb,dw,toe clip,8/22/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1814,95.9,ppb,dw,toe clip,8/22/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1809,45.6,ppb,dw,toe clip,8/21/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1813,29.5,ppb,dw,toe clip,8/21/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1808,40.7,ppb,dw,toe clip,8/20/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1802,23.9,ppb,dw,toe clip,8/19/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1804,39.7,ppb,dw,toe clip,8/19/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1805,28.5,ppb,dw,toe clip,8/19/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1806,35.7,ppb,dw,toe clip,8/19/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1807,31.4,ppb,dw,toe clip,8/19/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1812,39.2,ppb,dw,toe clip,8/19/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1801,135,ppb,dw,toe clip,7/21/20,RASI,Rana sierrae,frog/toad,California,SW NorCal,BridalveilCreek
20ARMI1351,22,ppb,dw,toe clip,9/24/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1294,11.9333333333333,ppb,dw,toe clip,9/24/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1248,69.1,ppb,dw,toe clip,9/23/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1265,16.8,ppb,dw,toe clip,9/23/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1328,18,ppb,dw,toe clip,9/23/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1316,23.8333333333333,ppb,dw,toe clip,9/23/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1292,15.2666666666667,ppb,dw,toe clip,9/23/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1222,18.3666666666667,ppb,dw,toe clip,9/23/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1272,31.9,ppb,dw,toe clip,9/23/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1267,32.0666666666667,ppb,dw,toe clip,9/23/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1355,25.2333333333333,ppb,dw,toe clip,9/23/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1324,21.4333333333333,ppb,dw,toe clip,9/22/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1271,33.2666666666667,ppb,dw,toe clip,9/22/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1336,13.1666666666667,ppb,dw,toe clip,9/22/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1360,14.5,ppb,dw,toe clip,9/22/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
20ARMI1299,35.9,ppb,dw,toe clip,9/22/20,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2646,16.5666666666667,ppb,dw,toe clip,9/19/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1998,12.8333333333333,ppb,dw,toe clip,9/19/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2659,19.5,ppb,dw,toe clip,9/19/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2644,30.4,ppb,dw,toe clip,9/19/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1982,38.1,ppb,dw,toe clip,9/19/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1966,31.2333333333333,ppb,dw,toe clip,9/19/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2649,24.4,ppb,dw,toe clip,9/18/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1981,17.5,ppb,dw,toe clip,9/18/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2662,19.8,ppb,dw,toe clip,9/18/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1996,19.2,ppb,dw,toe clip,9/18/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2647,24.2,ppb,dw,toe clip,9/18/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2658,43.2666666666667,ppb,dw,toe clip,9/18/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1971,22.8,ppb,dw,toe clip,9/18/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1987,19.1,ppb,dw,toe clip,9/17/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2642,37.4,ppb,dw,toe clip,9/17/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1964,25.9,ppb,dw,toe clip,9/17/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2635,26.7,ppb,dw,toe clip,9/17/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
21ARMI0831,17.5,ppb,dw,toe clip,9/15/2021,RAPR,Rana pretiosa ,frog/toad,Oregon,NW,DillmanMeadows
21ARMI0840,30.8,ppb,dw,toe clip,9/15/2021,RAPR,Rana pretiosa ,frog/toad,Oregon,NW,DillmanMeadows
21ARMI0836,33.7333333333333,ppb,dw,toe clip,9/15/2021,RAPR,Rana pretiosa ,frog/toad,Oregon,NW,DillmanMeadows
21ARMI0830,18.2,ppb,dw,toe clip,9/14/2021,RAPR,Rana pretiosa ,frog/toad,Oregon,NW,DillmanMeadows
21ARMI0821,11.7,ppb,dw,toe clip,9/14/2021,RAPR,Rana pretiosa ,frog/toad,Oregon,NW,DillmanMeadows
21ARMI0837,21.4,ppb,dw,toe clip,9/14/2021,RAPR,Rana pretiosa ,frog/toad,Oregon,NW,DillmanMeadows
21ARMI0822,33.3,ppb,dw,toe clip,9/14/2021,RAPR,Rana pretiosa ,frog/toad,Oregon,NW,DillmanMeadows
21ARMI0828,25.2,ppb,dw,toe clip,9/14/2021,RAPR,Rana pretiosa ,frog/toad,Oregon,NW,DillmanMeadows
19ARMI1968,37.9,ppb,dw,toe clip,8/9/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2665,35.3666666666667,ppb,dw,toe clip,8/9/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1967,16.6333333333333,ppb,dw,toe clip,8/8/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2637,25.4666666666667,ppb,dw,toe clip,8/8/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1975,20.7,ppb,dw,toe clip,8/8/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1976,29.9,ppb,dw,toe clip,8/8/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1596,15.5,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1579,18.6,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1568,26.9,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1616,44.1,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1586,29.7,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1602,30.7,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1620,19,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1614,21,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1573,17.6,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1601,30.2,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1567,30.9,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1582,23.5,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1576,20.3,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1617,20.8,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1595,17.2,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1593,41,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1607,22.1,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1603,30.8,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1590,22.6,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1599,32.6,ppb,dw,toe clip,8/8/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1969,22,ppb,dw,toe clip,8/7/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1983,23.8,ppb,dw,toe clip,8/7/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2640,30.9,ppb,dw,toe clip,8/7/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI2656,30.5,ppb,dw,toe clip,8/7/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1979,32.1,ppb,dw,toe clip,8/7/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1989,37.5,ppb,dw,toe clip,8/7/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
19ARMI1965,45.8,ppb,dw,toe clip,8/7/19,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1600,24.1,ppb,dw,toe clip,8/7/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1569,26.3,ppb,dw,toe clip,8/7/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1619,25.8,ppb,dw,toe clip,8/7/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1571,19.9,ppb,dw,toe clip,8/7/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1592,17.5,ppb,dw,toe clip,8/7/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1572,32.2,ppb,dw,toe clip,8/7/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1630,41.2,ppb,dw,toe clip,8/7/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1581,15.9,ppb,dw,toe clip,8/7/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
18ARMI1625,22.1,ppb,dw,toe clip,8/7/18,RAPR,Rana pretiosa,frog/toad,Oregon,NW,DilmanMeadow
