pop_spec,model
AMCI.SMNWR_E,CMR_single_population
AMCI.SMNWR_W,CMR_single_population_nli
ANBO.Blackrock,CMR_single_population
ANBO.JonesPond,CMR_single_population_mehg
ANBO.SonomaMountain,CMR_single_population_mehg_no_in
ANBO.TwoMedicine,CMR_single_population_nli
NOVI.KettleMoraine,CMR_single_population
NOVI.MudLake,CMR_single_population
NOVI.ScotiaBarrens,CMR_single_population
NOVI.SMNWR_W,CMR_single_population_nli
NOVI.Springfield,CMR_single_population
PSMA.LilyPond,CMR_single_population_no_gl_no_in
PSMA.MatthewsPond,CMR_single_population_no_gl
RANA.DilmanMeadows,CMR_single_population_mehg
RANA.FoxCreek,CMR_single_population_mehg
RANA.JonesPond,CMR_single_population_mehg_nli
RANA.LittleThreeCreeks,CMR_single_population_mehg_nli
RANA.LostHorse,CMR_single_population_mehg_no_in
RANA.SanFrancisquito,CMR_single_population_mehg
RANA.SummitMeadow,CMR_single_population
