Site,SubSite,CaptureDate,Species,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,
Blackrock-C,MW,5/30/2019,ANBO,3294617,F,,96.1,144.3,Y,0,1902500173,pos,1196518.63,19ARMI2057,,0,0,,
Blackrock-H,HE,5/28/2019,ANBO,3286010,F,,88.9,120,Y,0,1902500177,pos,335037.32,,,0,0,,
Blackrock-C,OX,5/17/2021,ANBO,152206384A,F,,92.3,117.8,Y,0,2002200103,pos,12931.75,21ARMI1416,,0,0,,
Blackrock-C,QU,5/6/2021,ANBO,75065599,F,,101.3,113.3,Y,0,2002200140,neg,0,,,0,0,,
Blackrock-C,SP,5/8/2018,ANBO,147337677A,F,,91.5,113,Y,0,1800700120,neg,0,18ARMI1421,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147347574A,F,,85.4,113,N,,,,,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,147346685A,F,,96.1,109.9,N,,,,,,*ML north closest to MW,0,0,,
Blackrock-C,MW,5/20/2021,ANBO,3291796,F,,99.8,109,Y,0,2002200022,neg,0,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147354394A,F,,88.8,106,N,,,,,,,0,0,,
Blackrock-C,MW,5/9/2020,ANBO,70771281,F,,96.9,105,Y,1,1603600048,,,19ARMI2907,,0,0,,
Blackrock-C,OX,5/29/2018,ANBO,3291562,F,,85.1,105,Y,0,1800900034,pos,586.23,18ARMI1429,,0,0,,
Blackrock-H,HE,5/29/2018,ANBO,147344474A,F,,90.7,104.7,Y,0,1800900033,neg,0,18ARMI1403,,0,0,,
Blackrock-C,MW,5/9/2020,ANBO,70773835,F,,90.7,103,Y,1,1603600044,,,19ARMI2880,,0,0,,
Blackrock-C,QU,5/13/2021,ANBO,152207372A,F,,93.7,101.7,N,,,,,,,0,0,,
Blackrock-C,MW,5/17/2021,ANBO,152204470A,F,,86.4,99.3,Y,0,2002200111,pos,8287.14,21ARMI1409,,0,0,,
Blackrock-H,HE,5/13/2020,ANBO,70774053,F,,92.5,98,Y,0,1603600244,pos,259.13,19ARMI2892,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147349117A,F,,81,98,N,,,,,,,0,0,,
Blackrock-C,QU,5/30/2019,ANBO,152206544A,F,,82.6,97.1,N,,,,,,,0,0,,
Blackrock-C,OX,5/17/2021,ANBO,152206612A,F,,97.9,96.3,Y,0,2002200105,pos,1338.91,21ARMI1413,,0,0,,
Blackrock-C,OX,5/17/2021,ANBO,152207233A,F,,88.9,95.6,Y,0,2002200104,pos,9893.52,21ARMI1414,,0,0,,
Blackrock-H,HE,5/13/2020,ANBO,70794523,F,,94.3,94,Y,0,1603600043,pos,1011.85,19ARMI2778,Right toe clip,0,0,,
Blackrock-C,ML,6/2/2020,ANBO,3814061,F,,88.7,93.5,Y,0,1603600196,pos,16538.40,19ARMI2052,,0,0,,
Blackrock-C,QU,5/13/2021,ANBO,152205754A,F,,92.7,92.7,N,,,,,,,0,0,,
Blackrock-C,SP,5/27/2020,ANBO,3778318,F,,95.4,91.5,Y,1,1603600205,,,,,0,0,,
Blackrock-C,QU,5/6/2019,ANBO,3291100,F,,82.56,90,Y,0,1902500022,pos,2837.15,,"gravid female, lots of bleeding and stress, withheld toe clip",1,0,,
Blackrock-C,OX,6/4/2020,ANBO,3801365,F,,79.9,90,Y,1,1603600180,,,,,0,0,,
Blackrock-C,QU,5/3/2018,ANBO,147358712A,F,,78.9,89.4,N,,,,,,,0,0,,
Blackrock-C,SP,5/25/2021,ANBO,3267535,F,,98.8,89.3,Y,0,2002200060,pos,10743.85,21ARMI1425,,0,0,,
Blackrock-C,OX,5/27/2020,ANBO,3291562,F,,83.7,89,Y,1,1603600211,,,,Pink toes,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147353625A,F,,79.5,89,N,,,,,,,0,0,,
Blackrock-C,ML,5/27/2021,ANBO,3270017,F,,91.4,88.5,N,,,,,,,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,3801580,F,,85.3,88.3,N,,,,,,pink,1,0,,
Blackrock-C,MW,5/17/2021,ANBO,152205603A,F,,92,88,Y,0,2002200110,neg,0,21ARMI1408,,0,0,,
Blackrock-C,MW,5/20/2021,ANBO,3276331,F,,90.4,87.9,Y,0,2002200070,pos,152087.07,,,0,0,,
Blackrock-C,QU,5/8/2018,ANBO,147349172A,F,,84.8,86,N,,,,,,,0,0,,
Blackrock-H,HE,5/31/2018,ANBO,152206105A,F,,80.1,84,Y,0,1800700027,neg,0,,,0,0,,
Blackrock-C,OX,5/20/2021,ANBO,3791074,M,,87,82.7,Y,0,2002200065,pos,3343.53,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3295605,F,,74.8,82.1,Y,1,1603600075,,,19ARMI2834,,0,0,,
Blackrock-C,SP,5/8/2018,ANBO,147352791A,F,,87.9,80,Y,0,1800700122,pos,1327098.59,18ARMI1400,,0,0,,
Blackrock-H,HE,6/4/2019,ANBO,152206160A,F,,86.4,80,Y,0,1902500215,pos,5022.09,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,75085013,F,,76.3,80,N,,,,,,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3000622,M,,83.7,77.9,N,,,,,,,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,3741074,M,,84.7,77,N,,,,,,,0,0,,
Blackrock-C,QU,5/13/2021,ANBO,152205796A,M,,94,76.9,N,,,,,,,0,0,,
Blackrock-C,ML,5/26/2021,ANBO,3266073,F,,80.3,76.9,N,,,,,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,75047880,F,,76.9,76,N,,,,,,,0,0,,
Blackrock-C,OX,5/17/2021,ANBO,152206745A,M,,86.2,75.3,Y,0,2002200106,pos,12949.39,21ARMI1406,,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,3801561,F,,93.9,75,N,,,,,,,0,0,,
Blackrock-C,QU,5/8/2018,ANBO,147354090A,M,,82.9,75,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2019,ANBO,3285559,M,,77.02,75,Y,0,1902500157,pos,557.78,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147351226A,M,,81.3,73,N,,,,,,Little pink,1,0,,
Blackrock-H,HE,5/13/2020,ANBO,70604525,M,,75.7,73,Y,0,1603600236,pos,162812.16,,,0,0,,
Blackrock-C,SP,5/22/2018,ANBO,147352791A,F,,86.3,72,N,,,,,,captured SP 5/8,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,75085013,F,,83.3,72,N,,,,,,,0,0,,
Blackrock-C,OX,6/6/2019,ANBO,70612877,M,,75.3,72,Y,0,1902500232,pos,784.75,19ARMI2926,,0,0,,
Blackrock-C,OX,5/17/2021,ANBO,3301536,M,,78.7,71.6,Y,0,2002200108,pos,5513.53,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147336386A,M,,89.9,71,N,,,,,,,0,0,,
Blackrock-C,OX,6/3/2019,ANBO,152128227A,M,,82.4,71,Y,0,1902500202,pos,25250.84,19ARMI2816,,0,0,,
Blackrock-C,ML,5/13/2018,ANBO,147336386A,M,,81.2,71,Y,0,1800900065,pos,256497.14,,captured QU 5/5,0,0,,
Blackrock-C,QU,5/25/2019,ANBO,152205796A,M,,79.2,71,N,,,,,,,0,0,,
Blackrock-C,OX,6/3/2019,ANBO,3301536,M,,71.5,71,Y,0,1902500200,pos,1903.09,19ARMI2797,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,152205466A,M,,,70.7,N,,,,,,,0,0,,
Blackrock-C,ML,5/25/2021,ANBO,3290607,M,,85.2,70.3,Y,0,2002200059,pos,174.53,21ARMI1428,,0,0,,
Blackrock-C,SP,5/22/2018,ANBO,3809117,F,,81.2,70,Y,0,1800900046,pos,13407.33,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,152205796A,M,,81,70,N,,,,,,,0,0,,
Blackrock-C,ML,6/2/2020,ANBO,3791074,M,,77.7,70,Y,0,1902500263,pos,80588.12,,,0,0,,
Blackrock-H,HE,5/13/2020,ANBO,70609350,M,,76.4,70,Y,0,1603600235,pos,21455.80,19ARMI2093,,0,0,,
Blackrock-C,QU,5/21/2019,ANBO,152205083A,M,,75.12,70,N,,,,,,slight pink on middle belly,1,0,,
Blackrock-C,QU,5/5/2020,ANBO,3289071,M,,86.2,69.4,Y,1,1603700142,,,,,0,0,,
Blackrock-C,QU,5/6/2021,ANBO,75045528,M,,91.8,69.3,Y,0,2002200139,neg,0,,,0,0,,
Blackrock-C,QU,5/1/2021,ANBO,3289071,M,,74.5,69.2,Y,0,2002200144,pos,38.66,21ARMI1429,,0,0,,
Blackrock-C,ML,5/27/2021,ANBO,3300581,M,,83.2,69.1,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2019,ANBO,152205083A,M,,78.25,69,Y,0,1902500125,pos,65420.18,,,0,0,,
Blackrock-H,HE,5/13/2020,ANBO,152135414A,M,,75.2,69,Y,0,1603600246,neg,0,,,0,0,,
Blackrock-H,HE,6/4/2019,ANBO,3304294,M,,71.5,69,Y,0,1902500224,pos,968671.10,,,0,0,,
Blackrock-C,ML,5/26/2021,ANBO,3290607,M,,86.1,68.3,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2019,ANBO,3288554,M,,88.32,68,Y,0,1902500151,pos,10555.18,,,0,0,,
Blackrock-C,ML,5/13/2018,ANBO,151963207A,M,,80.2,68,Y,0,1800700081,pos,5798.68,18ARMI1398,"Left ab, red skin patch",1,0,,
Blackrock-C,QU,5/30/2019,ANBO,101365836,M,,73.9,68,N,,,,,,,0,0,,
Blackrock-C,QU,5/9/2019,ANBO,3289071,M,,72.94,68,Y,0,1902500045,neg,0,,,0,0,,
Blackrock-C,QU,5/12/2021,ANBO,147349624A,M,,70,67.5,N,,,,,,,0,0,,
Blackrock-C,QU,5/13/2021,ANBO,152204687A,M,,78.9,67.4,N,,,,,,,0,0,,
Blackrock-C,MW,5/17/2021,ANBO,147349547A,M,,88.7,67,Y,0,2002200116,pos,1181.93,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,152205185A,M,,75.9,67,N,,,,,,captured ML 5/18,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,3023301,M,,73.3,67,Y,0,1603600234,pos,76886.63,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,3026842,M,,71,67,Y,0,1603600231,pos,572.80,,,0,0,,
Blackrock-C,SP,5/25/2021,ANBO,3304777,M,,83.2,66.5,Y,0,2002200061,pos,12154.20,21ARMI1426,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3283360,F,,88.2,66.4,N,,,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,152205466A,M,,82.5,66,N,,,,,,,0,0,,
Blackrock-C,QU,5/25/2019,ANBO,3288554,M,,80.4,66,N,,,,,,,0,0,,
Blackrock-C,QU,5/30/2019,ANBO,152205466A,M,,78,66,N,,,,,,,0,0,,
Blackrock-H,HE,6/9/2020,ANBO,3808803,M,,76.5,66,Y,0,1603600177,pos,81416.09,,,0,0,,
Blackrock-C,SP,5/22/2018,ANBO,101329351,M,,74.7,66,Y,0,1800900052,pos,54723.51,18ARMI1392,,0,0,,
Blackrock-C,ML,6/2/2020,ANBO,152126225A,M,,73.2,66,Y,0,1902500269,pos,171.70,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147338743A,M,,70.5,66,N,,,,,,captured QU 5/8,0,0,,
Blackrock-H,HE,5/28/2019,ANBO,3304294,M,,70.3,66,Y,0,1902500176,pos,16437.29,19ARMI2096,,0,0,,
Blackrock-H,HE,5/31/2018,ANBO,3794097,M,,66.2,66,Y,0,1800900018,neg,0,,,0,0,,
Blackrock-C,OX,6/3/2019,ANBO,152206354A,M,,84.3,65,Y,0,1902500193,pos,1470926.47,19ARMI2091,slight pink vent,1,0,,
Blackrock-C,QU,5/7/2020,ANBO,152205381A,M,,84.2,65,N,,,,,,,0,0,,
Blackrock-C,ML,6/2/2020,ANBO,152137011A,M,,82.2,65,Y,0,1603600200,pos,149619.98,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,3021296,M,,79.6,65,N,,,,,,,0,0,,
Blackrock-C,OX,6/6/2019,ANBO,152206354A,M,,79.2,65,Y,0,1902500228,pos,8889702.05,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,3000622,M,,77.7,65,Y,0,1603700124,pos,139004.06,,Pink thumbs,0,0,,
Blackrock-C,OX,6/3/2018,ANBO,3791074,M,,77.3,65,Y,0,1800700017,pos,204424.37,18ARMI1426,,0,0,,
Blackrock-C,MW,5/9/2020,ANBO,70616779,M,,77.1,65,Y,0,1603600045,pos,2745.85,19ARMI2866,,0,0,,
Blackrock-C,ML,5/13/2018,ANBO,147362613A,M,,75.3,65,Y,0,1800700082,pos,5570.17,18ARMI1412,,0,0,,
Blackrock-C,SP,5/26/2018,ANBO,101329351,M,,75,65,N,,,,,,captured SP 5/22,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,3300314,M,,74,65,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,147356261A,M,,72,64.3,Y,1,1603600073,,,,,0,0,,
Blackrock-C,SP,5/22/2018,ANBO,147362330A,F,,85,64,Y,0,1800900045,pos,43465.47,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,152205381A,M,,83.1,64,N,,,,,,,0,0,,
Blackrock-C,QU,5/9/2019,ANBO,152206606A,M,,80.26,64,Y,0,1902500048,pos,2681.14,,,0,0,,
Blackrock-H,HE,6/4/2019,ANBO,70604525,M,,79.1,64,Y,0,1902500207,pos,340561.76,19ARMI2894,slight pink on groin,1,0,,
Blackrock-C,QU,5/15/2018,ANBO,147347543A,M,,78.8,64,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,3289071,M,,78.6,64,N,,,,,,,0,0,,
Blackrock-C,QU,5/9/2019,ANBO,3299049,M,,78.41,64,Y,0,1902500058,pos,233316.85,19ARMI2047,,0,0,,
Blackrock-H,HE,5/28/2020,ANBO,152135414A,M,,78.4,64,Y,0,1603600186,pos,405745.66,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,147351226A,M,,77.8,64,N,,,,,,captured ML 5/15,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147358566A,M,,77.1,64,N,,,,,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,101365836,M,,76.8,64,N,,,,,,captured ML 5/18,0,0,,
