Site,SubSite,CaptureDate,Species,IndividualID,Sex,SVLmm,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
DilmanMeadows,1,9/28/18,RAPR,982000408830515,99,42.00,SA,8.50,Y,0,1801100277,neg,0,18ARMI1517,Likely predation on LR2,1,0,,
DilmanMeadows,1,9/27/18,RAPR,982000408830586,99,44.50,SA,8.50,Y,0,1801100176,neg,0,18ARMI1531,,0,0,,
DilmanMeadows,1,9/27/18,RAPR,989001002932241,2,68.00,A,25.50,Y,0,1801100200,neg,0,18ARMI1536,,0,0,,
DilmanMeadows,1,9/27/18,RAPR,982000408830605,99,47.00,SA,7.50,Y,0,1801100193,neg,0,18ARMI1549,,0,0,,
DilmanMeadows,1,9/28/18,RAPR,989001002932182,1,51.50,A,14.00,Y,0,1801100276,neg,0,18ARMI1552,,0,0,,
ThreeCreeks,1,8/8/19,RACA,982126052698763,1,58.00,A,27.00,N,0,1801100247,neg,0,19ARMI1975,,0,0,,
ThreeCreeks,1,8/8/19,RACA,982126053072121,2,68.00,A,39.00,N,0,1801100246,neg,0,19ARMI1976,,0,0,,
ThreeCreeks,1,8/7/19,RACA,982126052297875,1,60.00,A,27.50,N,0,1801100254,neg,0,19ARMI1989,,0,0,,
ThreeCreeks,1,9/17/19,RACA,982000408830518,2,75.00,A,49.00,Y,0,1801100118,neg,0,19ARMI2638,,0,0,,
DilmanMeadows,1,9/25/19,RAPR,982126056701344,2,62.00,A,25.00,Y,0,1801100032,neg,0,19ARMI2693,,0,0,,
DilmanMeadows,1,9/25/19,RAPR,982126056701346,2,55.00,A,14.00,Y,0,1801100033,neg,0,19ARMI2715,,0,0,,
DilmanMeadows,1,8/14/19,RAPR,982000408830606,99,44.00,SA,6.00,N,0,1801100231,neg,0,19ARMI2725,,0,0,,
DilmanMeadows,1,8/13/19,RAPR,982126053028696,2,58.00,A,23.00,N,0,1801100256,neg,0,19ARMI2735,,0,0,,
DilmanMeadows,1,8/12/20,RAPR,982000408830569,2,64.00,A,26.50,Y,0,1903200046,neg,0,20ARMI1200,Frog was in floc.,0,0,,
DilmanMeadows,1,9/30/20,RAPR,982126052704954,1,54.00,A,16.50,Y,0,2003100130,neg,0,20ARMI1209,Frog was on mud. Old tear in webbing of LR.,1,0,,
ThreeCreeks,1,9/22/20,RACA,982126053064122,2,73.00,A,49.50,Y,0,2003100180,neg,0,20ARMI1271,Lesions on left leg. Did not take LR1 due to tears and bleeding on toe and in webbing. On right foot RR2 is inflamed and bleeding as is nose.,1,0,,
DilmanMeadows,1,9/29/20,RAPR,989001006896309,2,53.00,A,16.50,Y,0,2003100146,neg,0,20ARMI1274,,0,0,,
DilmanMeadows,1,9/30/20,RAPR,982126053073889,99,45.00,SA,9.00,Y,0,2003100136,neg,0,20ARMI1288,,0,0,,
ThreeCreeks,1,8/4/20,RACA,982126052698763,1,60.00,A,28.50,Y,0,1903200020,neg,0,20ARMI1321,,0,0,,
ThreeCreeks,1,9/22/20,RACA,982126050416639,2,71.00,A,42.00,Y,0,2003100179,neg,0,20ARMI1324,,0,0,,
DilmanMeadows,1,7/28/21,RAPR,982126052703556,2,60.00,A,25.50,Y,0,2003100017,neg,0,21ARMI0892,,0,0,,
DilmanMeadows,1,9/14/21,RAPR,982126053083304,99,40.00,SA,6.00,Y,0,2101100078,neg,0,21ARMI0901,,0,0,,
DilmanMeadows,1,9/15/21,RAPR,982126059648502,2,56.00,A,20.00,Y,0,2101100076,neg,0,21ARMI0912,Basking in open water near downed tree.,0,0,,
DilmanMeadows,1,9/14/21,RAPR,982126052715163,99,42.00,SA,7.00,Y,0,2101100077,neg,0,21ARMI0915,,0,0,,
DilmanMeadows,1,9/16/21,RAPR,982126059659994,2,58.00,A,24.00,Y,0,2101100059,neg,0,21ARMI0927,,0,0,,
DilmanMeadows,1,9/16/21,RAPR,982091066341617,99,44.00,SA,9.00,Y,0,2101100058,neg,0,21ARMI0929,,0,0,,
DilmanMeadows,1,9/15/21,RAPR,982126053059723,2,50.00,A,13.00,Y,0,2101100072,neg,0,21ARMI0934,,0,0,,
ThreeCreeks,1,10/3/18,RACA,982126050416639,2,55.00,A,20.00,Y,0,1801100217,neg,0,,,0,0,,
DilmanMeadows,1,9/27/18,RAPR,982000408830573,2,59.00,A,26.00,Y,0,1801100195,pos,1894.02959801312,18ARMI1512,,0,0,,
DilmanMeadows,1,9/28/18,RAPR,989001002932226,1,52.00,A,13.50,Y,0,1801100278,pos,56.0443802105655,18ARMI1515,,0,0,,
ThreeCreeks,1,10/2/18,RACA,982000408830518,2,60.00,A,27.50,Y,0,1801100201,pos,406.853132455231,18ARMI1523,RR4 may be missing due to a predator.,1,0,,
DilmanMeadows,1,9/28/18,RAPR,982000408830590,99,43.50,SA,8.00,Y,0,1801100279,pos,4340.62723411757,18ARMI1527,,0,0,,
ThreeCreeks,1,10/2/18,RACA,982000408830610,2,58.00,A,16.50,Y,0,1801100202,pos,8580.21236417154,18ARMI1528,,0,0,,
DilmanMeadows,1,9/27/18,RAPR,982000408830522,2,48.00,A,13.50,Y,0,1801100191,pos,1249.00458553585,18ARMI1535,,0,0,,
DilmanMeadows,1,9/27/18,RAPR,982000408830545,99,45.00,SA,8.00,Y,0,1801100192,pos,66.1373574362836,18ARMI1537,,0,0,,
ThreeCreeks,1,10/3/18,RACA,972273000143771,2,76.00,A,52.50,Y,0,1801100218,pos,21237.6086242683,18ARMI1547,,0,0,,
ThreeCreeks,1,8/8/18,RACA,982126052303236,2,53.00,A,20.00,Y,0,1801100057,pos,34219.0143098908,18ARMI1567,,0,0,,
DilmanMeadows,1,9/26/18,RAPR,989001002932243,2,60.00,A,28.00,Y,0,1801100171,pos,1170.70967090201,18ARMI1589,,0,0,,
ThreeCreeks,1,8/8/18,RACA,985153000403581,2,78.00,A,66.00,Y,0,1801100061,pos,10139.2234855882,18ARMI1593,Cut in skin of upper thigh,1,0,,
ThreeCreeks,1,8/7/18,RACA,982126050416639,2,52.00,A,16.00,Y,0,1801100065,pos,39028.7808879312,18ARMI1599,,0,0,,
ThreeCreeks,1,8/8/18,RACA,982126053058816,1,55.00,A,24.00,Y,0,1801100113,pos,94842.2901331063,18ARMI1601,,0,0,,
DilmanMeadows,1,9/26/18,RAPR,989001002932238,1,54.00,A,15.00,Y,0,1801100173,pos,1937.10411839545,18ARMI1610,,0,0,,
ThreeCreeks,1,8/7/18,RACA,982126050416563,2,54.00,A,18.00,Y,0,1801100062,pos,104.977909134451,18ARMI1619,,0,0,,
DilmanMeadows,1,9/26/18,RAPR,982000408830576,99,43.00,SA,9.00,Y,0,1801100174,pos,6203.3738799267,18ARMI1627,,0,0,,
ThreeCreeks,1,8/7/19,RACA,982000408830610,2,67.00,A,35.50,N,0,1801100255,pos,,19ARMI1965,"LR2 was shorter than RR2, but didn't appear to be a previous clip, possibly predation.",0,1,pos with no copies/swab,
