Site,SubSite,CaptureDate,Species,IndividualID,SVLmm,Sex,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
EmmaCarlin,1,6/16/2021,NOVI,2101800130,33,F,A,,Y,0,2101800130,neg,0,,,0,0,,
EmmaCarlin,1,6/18/2020,NOVI,2002700001,31,U,A,,Y,0,2002700001,neg,0,,,0,0,,
EmmaCarlin,1,6/16/2021,NOVI,2102200151,24,U,A,,Y,0,2102200151,neg,0,,,0,0,,
EmmaCarlin,1,6/16/2021,NOVI,2101800129,39,M,A,,Y,0,2101800129,neg,0,,,0,0,,
EmmaCarlin,1,6/16/2021,NOVI,2101800102,33,F,A,,Y,0,2101800102,neg,0,,,0,0,,
EmmaCarlin,1,6/16/2021,NOVI,2101800075,31,F,A,,Y,0,2101800075,neg,0,,,0,0,,
EmmaCarlin,1,6/16/2021,NOVI,2101800103,34,M,A,,Y,0,2101800103,neg,0,,,0,0,,
EmmaCarlin,1,6/16/2021,NOVI,2101800105,33,F,A,,Y,0,2101800105,neg,0,,,0,0,,
EmmaCarlin,1,4/28/2021,NOVI,2101200265,30,M,A,,Y,0,2101200265,neg,0,,,0,0,,
EmmaCarlin,1,6/16/2021,NOVI,2101800097,31,F,A,,Y,0,2101800097,neg,0,,,0,0,,
EmmaCarlin,1,6/16/2021,NOVI,2101800070,36,F,A,,Y,0,2101800070,neg,0,,,0,0,,
EmmaCarlin,3,5/7/2020,NOVI,2001500175,24,U,J,,Y,0,2001500175,neg,0,,,0,0,,
EmmaCarlin,1,6/16/2021,NOVI,2101800122,36,U,A,,Y,0,2101800122,neg,0,,,0,0,,
MudLake,1,6/3/2020,NOVI,2002700320,41,F,A,,Y,0,2002700320,neg,0,20ARMI1706,Dead in trap,0,0,,1
MudLake,3,6/4/2020,NOVI,2002700221,,U,A,,Y,0,2002700221,neg,0,,"No photo…too mangled. Dead in trap-eaten, very mangled",0,0,,1
MudLake,1,5/28/2019,NOVI,1905100191,35,F,A,,Y,0,1905100191,neg,0,,Found dead,0,0,,1
EmmaCarlin,1,6/12/2019,NOVI,1904600316,32,F,A,,Y,0,1904600316,neg,0,,,0,0,,
MudLake,1,6/3/2020,NOVI,2002700326,48,M,A,,Y,0,2002700326,neg,0,20ARMI1745,,0,0,,
MudLake,1,6/7/2021,NOVI,2101700156,59,M,A,,Y,0,2101700156,neg,0,21ARMI0244,,0,0,,
MudLake,1,6/1/2018,NOVI,43000160541,49,F,A,,Y,0,1802000268,neg,0,18ARMI1234,Hg tail clip; gravid,0,0,,
MudLake,1,5/7/2019,NOVI,1903600052,47,F,A,,Y,0,1903600052,neg,0,,103-0311,0,0,,
MudLake,1,5/12/2020,NOVI,2002300138,46,F,A,,Y,0,2002300138,neg,0,,,0,0,,
