Site,SubSite,CaptureDate,Species	,IndividualID,MassG,Sex,Age,SVLmm,BdSample,SwabLost,SwabID,BdResult,TrgetCopies/swb,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
FoxCreek,P-850A,6/28/2021,RABO,,5,U,J,36,Y,0,2100600058,pos,755.3638904,,"Not tagged, too small, but we swabbed before realizing how small it was.",0,1,not tagged,
SummitMeadow,Y-1526A,9/4/2019,RASI,985153000043060,64,F,A,80,Y,0,1902600376,pos,2971.712338,,,0,0,,
SummitMeadow,Y-1526A,7/27/2019,RASI,985153000043060,55,F,A,77,Y,0,1902600268,pos,16115.64407,,,0,0,,
SummitMeadow,Y-1526A,9/7/2018,RASI,985153000043060,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/8/2018,RASI,985153000043060,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,7/22/2020,RASI,985153000043060,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/4/2019,RASI,985153000043058,9.1,,,,Y,1,1902600379,,,,Missing bd,0,0,,
SummitMeadow,Y-1526,7/23/2019,RASI,985153000043058,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526,7/27/2019,RASI,985153000043058,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526,7/11/2018,RASI,985153000043050,,M,A,63,Y,1,1700100668,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
SummitMeadow,Y-029,9/5/2019,RASI,985153000042692,52.4,F,A,78,Y,0,1902600413,pos,7167.511738,,,0,0,,
SummitMeadow,Y-029,8/22/2020,RASI,985153000042692,50.4,F,A,76,Y,0,2000800357,pos,1595.175548,,,0,0,,
SummitMeadow,Y-029,7/21/2020,RASI,985153000042692,47.6,F,A,76,Y,0,2000800192,pos,3638.334248,20ARMI1801,,0,0,,
SummitMeadow,Y-029,9/6/2019,RASI,985153000042692,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-029,9/7/2019,RASI,985153000042692,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/10/2018,RASI,985153000042692,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,7/23/2020,RASI,985153000042658,34.4,M,A,68,Y,0,2000800196,pos,5080.610625,,,0,0,,
SummitMeadow,Y-1526A,8/21/2020,RASI,985153000042658,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-029,7/10/2018,RASI,985153000042653,51.5,F,A,75,Y,0,1700100652,pos,21779.88581,,,0,0,,
SummitMeadow,Y-1687,8/22/2020,RASI,985153000042652,58,F,A,75,Y,0,2000800359,neg,0,20ARMI1814,,0,0,,
SummitMeadow,Y-029,7/22/2020,RASI,985153000042622,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-029,8/21/2020,RASI,985153000042622,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-029,8/22/2020,RASI,985153000042622,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-029,7/25/2020,RASI,985153000042583,34.3,M,A,66,Y,0,2000800198,neg,0,,,0,0,,
SummitMeadow,Y-1687,9/7/2018,RASI,985153000042562,63.2,F,A,78,Y,0,1800400113,pos,1249.004586,,,0,0,,
SummitMeadow,Y-1687,9/6/2019,RASI,985153000042562,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/24/2020,RASI,985153000042562,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/6/2019,RASI,985153000042556,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/8/2019,RASI,985153000042556,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/7/2019,RASI,985153000042531,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,8/19/2020,RASI,985153000042531,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/8/2018,RASI,985153000042505,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/6/2018,RASI,985153000042405,49.3,F,A,71,Y,0,1800400091,neg,0,,Urostyle sticking up; SVL unflattened,0,0,,
SummitMeadow,Y-1526A,9/8/2018,RASI,985153000042405,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,8/19/2020,RASI,985153000040196,52.7,F,A,74,Y,0,2000800349,pos,79.60567458,20ARMI1804,,0,0,,
SummitMeadow,Y-1526A,9/6/2019,RASI,985153000040196,59.9,,,,Y,1,1902600417,,,,Missing bd,0,0,,
SummitMeadow,Y-1526A,8/22/2020,RASI,985153000040196,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/14/2018,RASI,985153000040164,29,M,A,64,Y,0,1700100692,neg,0,,Huge nuptial pads.,0,0,,
SummitMeadow,Y-1687,7/13/2018,RASI,985153000040164,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/4/2019,RASI,985153000040088,36.6,M,A,65,Y,0,1902600377,pos,1089.870566,,,0,0,,
SummitMeadow,Y-1526A,9/5/2019,RASI,985153000040088,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,7/24/2020,RASI,985153000040088,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,8/18/2020,RASI,985153000040088,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,8/20/2020,RASI,985153000040088,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,7/21/2021,RASI,985153000040088,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,7/22/2021,RASI,985153000040088,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,7/23/2021,RASI,985153000040088,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-029,9/7/2018,RASI,985153000040079,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-029,8/18/2020,RASI,985153000040079,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526,7/23/2019,RASI,985153000040045,33.5,M,A,64,Y,0,1902600246,pos,892.6123239,,,0,0,,
SummitMeadow,Y-1526,7/27/2019,RASI,985153000040045,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/6/2019,RASI,985153000040045,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-029,7/12/2018,RASI,985153000040024,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/6/2018,RASI,985153000040014,60.4,F,A,76,Y,0,1800400104,neg,0,,,0,0,,
SummitMeadow,Y-1687,7/25/2019,RASI,985153000040014,47.5,F,A,75,Y,0,1902600258,pos,1304.681631,,,0,0,,
SummitMeadow,Y-1687,7/10/2018,RASI,985153000040014,46.9,F,A,67,Y,0,1700100654,neg,0,,Third toe on left forelimb missing.,0,0,,
SummitMeadow,Y-1687,7/11/2018,RASI,985153000040014,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/13/2018,RASI,985153000040014,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/14/2018,RASI,985153000040014,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/7/2018,RASI,985153000040014,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/8/2018,RASI,985153000040014,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,8/21/2020,RASI,985153000040014,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526,7/13/2018,RASI,985153000037696,54.2,F,A,76,Y,1,1700100685,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
SummitMeadow,Y-1687,9/7/2019,RASI,985153000037696,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,8/20/2020,RASI,985153000037696,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,8/21/2020,RASI,985153000037696,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,8/22/2020,RASI,985153000037696,,,,,N,,,,,,,0,0,,
