Site,SubSite,CaptureDate,Species,IndividualID,Sex,Age,SVLmm,MassG,SwabID,BdSample,SwabLost,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
JonesPond,1,7/21/2021,RALU,900111880425384,F,,82,65.3,,N,,,,,TAKEN TO LAB,0,0,,
JonesPond,1,7/21/2021,RALU,900111880426858,F,,81,53.1,,N,,,,,TAKEN TO LAB,0,0,,
JonesPond,1,7/21/2021,RALU,900111880425735,F,,80,51.3,,N,,,,,"TAKEN TO LAB, RR2, RR3 DAMAGED",0,0,,
JonesPond,1,7/21/2021,RALU,900111880425386,F,,78,44.1,,N,,,,,"TAKEN TO LAB, SPLIT LR2",0,0,,
JonesPond,1,7/21/2021,RALU,900111880425558,F,,80,44,,N,,,,,TAKEN TO LAB,0,0,,
JonesPond,1,7/21/2021,RALU,900111880425550,F,,77,43.1,,N,,,,,TAKEN TO LAB,0,0,,
JonesPond,1,7/21/2021,RALU,900219000112277,F,,73,41.7,,N,,,,,TAKEN TO LAB,0,0,,
JonesPond,1,7/21/2021,RALU,900111880425712,F,,74,39.2,,N,,,,,TAKEN TO LAB,0,0,,
JonesPond,1,7/21/2021,RALU,900219000112240,F,,71,36.4,,N,,,,,TAKEN TO LAB,0,0,,
JonesPond,1,7/21/2021,RALU,900111880425681,F,,75,35.5,,N,,,,,TAKEN TO LAB,0,0,,
JonesPond,1,7/21/2021,RALU,900219000112289,F,,72,31.2,,N,,,,,TAKEN TO LAB,0,0,,
JonesPond,1,7/21/2021,RALU,900219000112235,F,,64,25.8,,N,,,,,TAKEN TO LAB,0,0,,
JonesPond,1,7/21/2021,RALU,900219000112270,F,,53,12.5,,N,,,,,TAKEN TO LAB,0,0,,
JonesPond,1,7/22/2019,RALU,900111880426860,F,,79,93.2,1902400183,Y,0,pos,675.74,,,0,0,,
JonesPond,1,7/23/2019,RALU,900111880426860,F,,79,93.2,,N,,,,,,0,0,,
JonesPond,1,7/24/2019,RALU,900111880426860,F,,79,93.2,,N,,,,,,0,0,,
JonesPond,1,7/25/2019,RALU,900111880426860,F,,79,93.2,,N,,,,,,0,0,,
JonesPond,1,8/19/2020,RALU,900111880425666,F,,85,76.8,2001900105,Y,0,pos,35539.47,,,0,0,,
JonesPond,1,8/20/2020,RALU,900111880425738,F,,84,76.8,2001900157,Y,0,pos,2405.02,,,0,0,,
JonesPond,1,7/23/2019,RALU,900111880426419,F,,89,75.4,,N,,,,,,0,0,,
JonesPond,1,7/24/2019,RALU,900111880426419,F,,89,75.4,,N,,,,,,0,0,,
JonesPond,1,7/25/2019,RALU,900111880426419,F,,89,75.4,,N,,,,,,0,0,,
JonesPond,1,7/22/2019,RALU,900111880426419,F,,89,75.04,1902400185,Y,0,pos,3593.3,,,0,0,,
JonesPond,1,8/23/2021,RALU,900111880425384,F,,83,74.9,,N,,,,,,0,0,,
JonesPond,1,7/22/2019,RALU,900111880426732,F,,81,74.3,1902400173,Y,0,pos,11698.24,,,0,0,,
JonesPond,1,7/23/2019,RALU,900111880426732,F,,81,74.3,,N,,,,,,0,0,,
JonesPond,1,7/25/2019,RALU,900111880426732,F,,81,74.3,,N,,,,,,0,0,,
JonesPond,1,8/16/2021,RALU,900111880425384,F,,86,71.5,2100500267,Y,0,pos,30726.1466563479,,,0,0,,
JonesPond,1,7/23/2019,RALU,900111880425396,F,,84,69.8,1903900040,Y,0,pos,578.06,19ARMI1818,"MISSING BOTH TOES TOOK LEFT MIDDE INSTEAD, MAYBE OURS LAST YEAR, CARROL THIS YEAR OR DROPPED TAG?",0,0,,
