Site,SubSite,CaptureDate,Species,PondLocation,IndividualID,Sex,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead,HP,Abundance,Area,Density,Temp,Temp_1w,Temp_2w,Temp_3w,Temp_4w,Air_Max,Air_Max1,Air_Max2,Air_Max3,Air_Max4,Site_temp,Site_temp1,Site_temp2,Site_temp3,Site_temp4
ScotiaBarrens,A11,4/26/2019,NEWT,T1,xxORxx,F,44,,Y,0,1903800196,pos,235.7093442,,(has the same Swab Code as an individual captured 4/25 at SC37 marked OORBRB),,1,Wrong animal?,,Long,91.85669221,268.845,0.341671566,13.8751,,,,,11.78888889,,,,,13.536675,,,,
ScotiaBarrens,P1,6/7/2019,NEWT,D5/6,YRBBxx,F,38,,N,,,,,,1ST MARK GIVEN BEFORE REALIZING IT WAS A RECAP. ORIGIL CODE WAS xRBBxx,,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,19.51879487,17.62762785,18.87517177,16.69591114,13.59249702,19.05555556,17.72777778,19.53095238,17.57698413,12.01190476,18.90558084,17.10504263,18.30957375,16.13443572,13.27999402
ScotiaBarrens,P1,7/6/2020,NEWT,D4/5,YBYxRR,F,37,,Y,0,2002100175,pos,907.9483939,,A11: found temperature probe #2 near base. Put back on rebar.,,,,,Long,441.5531583,560.6216667,0.787613438,22.76089583,21.39687698,19.911,17.79732738,18.17558185,25.39444444,23.68730159,21.58809524,19.49603175,19.30634921,22.52761545,21.62844891,19.62297966,17.61408755,18.16918031
ScotiaBarrens,SC37,4/26/2019,NEWT,T5,BBRBYB,F,41,,Y,0,1903800209,pos,42.24973114,,Accidentally recorded as recap. Changed to new.,,,,,Long,2538.657865,1869.461667,1.357961979,13.41336806,,,,,11.78888889,,,,,13.536675,,,,
ScotiaBarrens,P1,7/7/2020,NEWT,D4,BBRYRR,F,39,,Y,0,2002100331,pos,101.6689001,,Accidentally remarked as BBR(RY)RR.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,22.69925347,21.65643304,19.97821379,18.40103621,17.96991716,23.36111111,23.93730159,21.81190476,20.11428571,19.20793651,22.57691319,21.94622586,19.93492477,18.24647288,18.00404762
ScotiaBarrens,SC37,3/30/21,NEWT,,BBBRBY,F,40,,Y,0,2001400027,neg,0,,Amplexus with BBBOBY,,,,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,SC38,4/2/2020,NEWT,D4,OBOBYY,F,39,,Y,0,2001400372,neg,0,,Amplexus with OBYRYY.,,,,,Short,19.14324652,141.1433333,0.135629832,7.361635417,7.854949405,7.002434524,7.124397321,,6.683333333,8.196031746,5.296031746,5.626984127,,7.572413889,8.083693924,7.348422222,7.413274554,
ScotiaBarrens,P1,4/9/2020,NEWT,D3,RBRORR,F,38,,Y,0,2001400343,neg,0,,Amplexus with OOxORR.,,,,,Long,441.5531583,560.6216667,0.787613438,11.40537153,9.097473214,8.182287202,7.752933532,7.851153274,8.072222222,10.92698413,8.196031746,5.296031746,5.626984127,11.62098316,9.368114633,8.083693924,7.348422222,7.413274554
ScotiaBarrens,SC38,4/13/21,NEWT,,BROYYY,F,34,,Y,0,2001400097,pos,131.0026923,,Amplexus with OROOYY,,,,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,A11,4/2/2020,NEWT,D1,OYOBBB,F,38,,Y,0,2001400331,neg,0,,Amplexus with xxOYBB.,,,,,Long,43.8555992,268.845,0.163125962,7.514141667,7.926728571,7.261966667,7.459708333,,6.683333333,8.196031746,5.296031746,5.626984127,,7.572413889,8.083693924,7.348422222,7.413274554,
ScotiaBarrens,P1,6/17/2020,NEWT,D14,BxOBRR,F,38,,Y,0,2001700145,pos,15650.26357,,B and O floater.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,16.97138542,17.70888343,18.16672817,17.38204613,15.03492758,19.64444444,18.50079365,21.24761905,18.19126984,17.16111111,17.00925694,17.64444035,18.13745523,17.64882577,15.47752778
ScotiaBarrens,P1,6/10/2020,NEWT,D13/14,BxOBRR,F,37,,N,,,,,,B and O floaters.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,19.77502778,18.16672817,17.38204613,15.03492758,11.03973016,23.66111111,21.24761905,18.19126984,17.16111111,14.88015873,19.75699826,18.13745523,17.64882577,15.47752778,12.30126952
ScotiaBarrens,P1,7/2/2019,NEWT,D4/5,xxBRxx,F,42,,N,,,,,,B AND R FLOATERS,,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,20.92271154,21.31316712,19.77703571,16.58899451,18.25150556,24.20555556,23.28968254,20.78095238,17.02936508,19.08253968,21.08955966,21.4163366,19.21064097,16.30754538,17.69368004
ScotiaBarrens,P1,6/4/2020,NEWT,D14/15,YxRBRR,F,40,,N,,,,,,B floater in belly.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,17.96400694,16.99342361,15.71595188,11.82242262,8.497824901,20.68333333,18.48333333,18.40238095,15.26587302,6.691269841,17.94743837,17.29516766,16.14190873,13.0066908,8.942712277
ScotiaBarrens,P2,7/9/2019,NEWT,NR,RYBBOO,F,42,,N,,,,,,B FLOATER NEAR POSITION 3,,1,Wrong animal?,,Long,227.6039346,1196.051667,0.190296072,,,,,,21.42222222,22.72301587,23.28968254,20.78095238,17.02936508,21.21716695,21.83377708,21.4163366,19.21064097,16.30754538
ScotiaBarrens,SC37,6/17/2019,NEWT,D5,BBxYYB,F,41,,N,,,,,,BACK LEFT SIDE HAS LONG RED BLISTERING/DAMAGE,1,,,,Long,2538.657865,1869.461667,1.357961979,17.88670139,16.58835218,17.92769147,18.67085615,17.11713393,18.42777778,16.79285714,18.57857143,18.6968254,17.95952381,18.06957643,16.18529889,17.49558317,18.33580416,16.7808524
ScotiaBarrens,A11,7/8/2019,NEWT,D2/3,xRROxx,F,46,,N,,,,,,BACK LEGS DARK & SWOLLEN,1,,,,Long,91.85669221,268.845,0.341671566,19.16403333,21.72365952,21.08015952,18.61756548,15.92151071,19.53888889,22.85238095,23.39206349,20.39047619,16.79285714,19.36801307,21.84971962,21.41919705,19.00634704,16.18529889
ScotiaBarrens,SC38,5/20/21,NEWT,,xRRxYY,F,40,,Y,0,2101300426,neg,0,21-0631,Bleeding from tail clip,,,,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,P1,5/24/2019,NEWT,D13,YBBRRR,F,41,,Y,0,1903800653,pos,52214.5907,,blue floater in belly,1,,,,Long,434.8518028,560.6216667,0.775660001,17.49967262,16.69591114,13.59249702,17.30218495,,18.96666667,17.57698413,12.01190476,16.04126984,11.31428571,16.95708586,16.13443572,13.27999402,17.04904594,12.94118323
ScotiaBarrens,P1,7/19/2018,NEWT,,YRYRxx,F,40,,Y,0,1800600568,pos,3829.383479,,"blue floating, could b YRBR",,1,Wrong animal?,,Long,658.2092458,560.6216667,1.174070295,,,,,,25,28.17460317,27.85714286,29.52380952,23.96825397,,,,,
ScotiaBarrens,SC37,5/25/21,NEWT,,BBOYOB,F,38,,N,,,,,,Bmark near O in pos. 3; Definitely BBOYOB,,,,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,P1,6/10/2020,NEWT,D13,YBOYRR,F,39,,N,,,,,,Bruising on left side.,1,,,,Long,441.5531583,560.6216667,0.787613438,19.77502778,18.16672817,17.38204613,15.03492758,11.03973016,23.66111111,21.24761905,18.19126984,17.16111111,14.88015873,19.75699826,18.13745523,17.64882577,15.47752778,12.30126952
ScotiaBarrens,A11,7/8/2020,NEWT,D2/3,OBOOBB,F,44,,Y,0,2002100342,neg,0,,Bump on back.,1,,,,Long,43.8555992,268.845,0.163125962,23.12148958,22.17618899,19.66699702,17.74337798,16.95068601,24.74444444,24.11904762,21.83571429,20.6984127,18.50079365,23.36495486,22.1809881,20.00554795,18.78606184,17.75027513
ScotiaBarrens,P1,7/14/2020,NEWT,D7,RRYYYO,F,37,,N,,,,,,"Cannot tell which code it is. This code hasn't been used and doesn't have a ""new"" capture. Maybe RBYYYO?",,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,19.51875694,22.4812128,21.65643304,19.97821379,18.40103621,23.37222222,23.68174603,23.93730159,21.81190476,20.11428571,19.94467477,22.29977761,21.94622586,19.93492477,18.24647288
ScotiaBarrens,A11,5/18/2020,NEWT,D3,OBOYBB,F,,,N,,,,,,Caught and swabbed last week.,,,,,Long,43.8555992,268.845,0.163125962,12.90458333,10.0875381,10.11138452,9.635932143,8.403075,15.83888889,12.28015873,7.395238095,12.22539683,7.152380952,13.94224392,10.70589271,10.33688457,9.951902059,8.612917932
ScotiaBarrens,A11,5/19/2020,NEWT,D2/3,OBOYBB,F,,,N,,,,,,Caught and swabbed last week.,,,,,Long,43.8555992,268.845,0.163125962,13.62170833,10.74130714,9.663608333,9.987747619,8.6902,15.72777778,13.65555556,6.451587302,13.15238095,6.780952381,14.72297656,11.45458026,9.754328051,10.51171766,8.81567314
ScotiaBarrens,A11,5/21/2020,NEWT,D1,OBOOBB,F,,,N,,,,,,Caught and swabbed recently.,,,,,Long,43.8555992,268.845,0.163125962,13.28454167,12.14076964,8.885240476,10.77985595,8.998425,13.08333333,15.26587302,6.691269841,12.11269841,8.76031746,13.39062153,13.0066908,8.942712277,11.36282448,9.074887748
ScotiaBarrens,A11,5/22/2020,NEWT,D4,OBBYBB,F,,,N,,,,,,Caught and swabbed recently.,,,,,Long,43.8555992,268.845,0.163125962,13.70053125,12.60396607,8.92157619,10.81181548,9.161021429,15.92777778,15.50714286,7.092063492,11.52857143,9.654761905,14.3638533,13.45873234,9.019690799,11.29575211,9.323552232
ScotiaBarrens,A11,5/22/2020,NEWT,D4,OBYYBB,F,,,N,,,,,,Caught and swabbed recently.,,,,,Long,43.8555992,268.845,0.163125962,13.70053125,12.60396607,8.92157619,10.81181548,9.161021429,15.92777778,15.50714286,7.092063492,11.52857143,9.654761905,14.3638533,13.45873234,9.019690799,11.29575211,9.323552232
ScotiaBarrens,A11,5/22/2020,NEWT,D5,xBYRxx,F,,,N,,,,,,Caught and swabbed recently.,,,,,Long,43.8555992,268.845,0.163125962,13.70053125,12.60396607,8.92157619,10.81181548,9.161021429,15.92777778,15.50714286,7.092063492,11.52857143,9.654761905,14.3638533,13.45873234,9.019690799,11.29575211,9.323552232
ScotiaBarrens,SC38,5/20/2020,NEWT,D3,OBYBYY,F,,,N,,,,,,Caught and swabbed recently.,,,,,Short,19.14324652,141.1433333,0.135629832,14.32870833,13.12732292,9.144584821,11.31384673,8.8759375,12.43333333,14.88015873,6.284920635,12.94444444,7.444444444,14.36484809,12.30126952,9.221991592,11.06600813,8.851652431
ScotiaBarrens,SC38,5/22/2020,NEWT,D1,YOOYYY,F,,,N,,,,,,Caught and swabbed recently.,,,,,Short,19.14324652,141.1433333,0.135629832,14.41975,14.14529464,9.089651786,11.45297768,9.384748512,15.92777778,15.50714286,7.092063492,11.52857143,9.654761905,14.3638533,13.45873234,9.019690799,11.29575211,9.323552232
ScotiaBarrens,P1,5/21/2020,NEWT,D9,RYYRxx,F,,,N,,,,,,Caught and swabbed recently. Recapture discrepancy. Check to see if entered correctly from data sheet. Pp 1-30 not double-checked for accuracy.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,13.18650694,11.82242262,8.497824901,10.71660069,8.685295635,13.08333333,15.26587302,6.691269841,12.11269841,8.76031746,13.39062153,13.0066908,8.942712277,11.36282448,9.074887748
ScotiaBarrens,SC38,5/20/21,NEWT,,RBYBYY,F,39,,Y,0,2101300433,pos,2139.740043,21-0640,Caught as RBYxYY but changed since code hasn't been used yet.,,1,Wrong animal?,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,P1,5/20/21,NEWT,,xOBRRR,F,40,,Y,0,2101300197,pos,2796.839946,21-0606,Clipped before measuring TL,,,,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,SC37,7/12/2019,NEWT,D4/5,xYOYRB,F,42,,N,,,,,,CLOACA IS RED AND SWOLLEN,1,,,,Long,2538.657865,1869.461667,1.357961979,21.65788889,21.71704861,21.92378869,20.11940675,17.9256756,22.92222222,22.35079365,23.12063492,21.91031746,19.11111111,21.75228232,21.6954777,21.75422049,19.94554296,17.87098167
ScotiaBarrens,SC37,6/23/21,NEWT,,RYYOYB,F,41,,N,,,,,,Could not find pos. 5; changed to RYYOYB due to measurements.,,1,Wrong animal?,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,SC37,7/1/2019,NEWT,D4/5,YORYRB,F,45,,N,,,,,,DARK BELLY ABOVE POSITION 4,,,,,Long,2538.657865,1869.461667,1.357961979,20.12236806,21.56172024,19.10717857,16.58835218,17.92769147,20.44444444,23.39206349,20.39047619,16.79285714,18.57857143,19.4796108,21.41919705,19.00634704,16.18529889,17.49558317
ScotiaBarrens,P1,7/2/2020,NEWT,D15,YYYxRR,F,39,,N,,,,,,Dark bumps under skin on chin and chest.,1,,,,Long,441.5531583,560.6216667,0.787613438,20.71234375,19.97690129,19.38925248,17.3083631,18.69544692,24.33333333,21.88095238,20.8547619,17.92698413,21.31825397,20.93619878,19.83354154,19.15437835,17.25190588,18.59703956
ScotiaBarrens,P2,5/9/2019,NEWT,D,YYxxOO,F,43,,N,,,,,,dark mass on left side behind position two,1,,,,Long,227.6039346,1196.051667,0.190296072,,,,,,14.83333333,16.53730159,10.34761905,,,15.88996515,16.97696762,13.03163231,,
