Site,SubSite,CaptureDate,Species,PondLocation,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead,HP,Abundance,Area,Density,Temp,Temp_1w,Temp_2w,Temp_3w,Temp_4w,Air_Max,Air_Max1,Air_Max2,Air_Max3,Air_Max4,Site_temp,Site_temp1,Site_temp2,Site_temp3,Site_temp4
ScotiaBarrens,SC38,4/25/2019,NOVI,D3/4,RBYRYY,F,,39,,Y,0,1903800146,unk,0,,Incorrectly recorded as a recap. The codes next to this code were all recorded as new on the same date. Changed status to new.,,1,Wrong animal?,,Short,65.29682706,141.1433333,0.462627781,15.69664583,,,,,11.53888889,,,,,15.99393611,,,,
ScotiaBarrens,SC37,5/21/2019,NOVI,D3,BBBBYB,M,,34,,Y,0,1903800468,pos,81233.20392,19ARMI0351,"Origilly entered as New. Changed to Recap since codes nearby were used closer to the other ""New"",",,1,Wrong animal?,,Long,2538.657865,1869.461667,1.357961979,16.5165625,14.817125,15.31014087,15.48236607,,14.02222222,16.06190476,13.39285714,15.68333333,,16.1741907,14.55834794,15.44465702,15.72046885,
ScotiaBarrens,SC38,5/23/2019,NOVI,D2,RBYBYY,F,,36,,Y,0,1903800576,pos,415317.7447,19ARMI0386,Incorrectly ID'd as RxYxYY. Changed to RBYBYY based on sex and measurements. RBYBYY was also remarked in those missing positions at the next capture event.,,1,Wrong animal?,,Short,65.29682706,141.1433333,0.462627781,15.07359375,15.30226935,13.22137798,16.81383482,12.84364137,19.83888889,17.02777778,11.84603175,16.53730159,10.34761905,15.52701664,15.80295596,13.66332357,16.97696762,13.03163231
ScotiaBarrens,SC37,5/21/2019,NOVI,D1,RBBRYB,F,,39,,Y,0,1903800471,pos,37390.77938,19ARMI0387,Incorrectly ID'd as RBxRYB since never recorded as new. Changed to RBBRYB based on sex and measurements.,,1,Wrong animal?,,Long,2538.657865,1869.461667,1.357961979,16.5165625,14.817125,15.31014087,15.48236607,,14.02222222,16.06190476,13.39285714,15.68333333,,16.1741907,14.55834794,15.44465702,15.72046885,
ScotiaBarrens,SC38,5/21/2019,NOVI,D1,RBBOYY,F,,42,,Y,0,1903800498,pos,74747.11449,19ARMI0416,Incorrectly ID'd as RBxOYY since never recorded as new. Changed to RBBOYY due to measurements and sex.,,1,Wrong animal?,,Short,65.29682706,141.1433333,0.462627781,15.55340625,14.0879375,15.05428423,15.68578571,,14.02222222,16.06190476,13.39285714,15.68333333,,16.1741907,14.55834794,15.44465702,15.72046885,
ScotiaBarrens,SC37,5/21/2019,NOVI,D6,RBYBRB,M,,41,,Y,0,1903800482,pos,1841.026288,19ARMI0455,Double marked in position 3. New code is RB(BY)BRB,,1,Wrong animal?,,Long,2538.657865,1869.461667,1.357961979,16.5165625,14.817125,15.31014087,15.48236607,,14.02222222,16.06190476,13.39285714,15.68333333,,16.1741907,14.55834794,15.44465702,15.72046885,
ScotiaBarrens,SC37,5/22/2019,NOVI,D1,OBROYB,M,,39,,Y,0,1903800569,pos,5603.169039,19ARMI0476,Double marked in position 5. New code is OBRO(RY)B.,,1,Wrong animal?,,Long,2538.657865,1869.461667,1.357961979,14.99479167,15.59698016,14.43260218,16.12955456,,13.78888889,16.8984127,11.99920635,16.39047619,,14.67591004,15.30592188,14.52404298,16.50964299,
ScotiaBarrens,P1,5/24/2019,NOVI,D2,RBBORR,F,,32,,Y,0,1903800652,pos,161600.7392,19ARMI0906,is position 5 mark missing? Only possible option is an R. Changed RBBOxR to RBBORR.,,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,17.49967262,16.69591114,13.59249702,17.30218495,,18.96666667,17.57698413,12.01190476,16.04126984,11.31428571,16.95708586,16.13443572,13.27999402,17.04904594,12.94118323
ScotiaBarrens,SC38,5/20/2021,NOVI,,RBYBYY,F,,39,,Y,0,2101300433,pos,2139.740043,21ARMI0640,Caught as RBYxYY but changed since code hasn't been used yet.,,1,Wrong animal?,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,P1,5/2/2019,NOVI,D6,OBYxxx,M,,43,,Y,0,1903800281,pos,26985.72839,,mark not marked off on code sheet?,,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,15.53718155,,,,,18.30555556,10.34761905,,,,15.38541691,13.03163231,,,
ScotiaBarrens,A11,5/24/2019,NOVI,D4,OYYBBB,M,,39,,Y,0,1903800664,pos,19944.69436,,recent because tail was clipped but had no marks. Given marks.,,1,Wrong animal?,,Long,91.85669221,268.845,0.341671566,16.40394167,15.80913929,13.32658571,17.3260881,13.22181905,18.96666667,17.57698413,12.01190476,16.04126984,11.31428571,16.95708586,16.13443572,13.27999402,17.04904594,12.94118323
ScotiaBarrens,B2,5/28/2019,NOVI,,RYOYBO,M,,39,,Y,0,1903800773,pos,45712.22372,,"Incorrectly recorded as RYOYBY. Changed to RYOYBO since BY was not used at this pond yet. Also would explain why RYOYBO did not have a ""new"" entry.",,1,Wrong animal?,,,,,,,,,,,19.32777778,17.96269841,16.06190476,13.39285714,15.68333333,18.78046262,16.94719938,14.55834794,15.44465702,15.72046885
ScotiaBarrens,P1,6/26/2019,NOVI,D5/6,OxOBRR,F,,41,,Y,0,1903000211,pos,91651.04186,,Incorrectly ID'd as OxOBRR since recorded as recapture before recorded as new. Changed to OROBRR based on measurements and sex.,,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,20.92598397,20.00667216,16.93973581,18.50835158,17.90057228,23.31111111,21.15555556,17.48650794,19.43730159,17.19920635,20.95555346,19.47129036,16.6338466,17.95892822,17.32997457
ScotiaBarrens,SC47,6/27/2019,NOVI,NR,YYROBB,M,,37,,Y,0,1903000278,pos,83596.7138,,"Incorrectly ID'd as YYxOBB. Never new and code never used. Probably a lost mark in position 3. Changed to YYROBB based on date, sex, and measurements.",,1,Wrong animal?,,Short,96.44079875,301.8783333,0.319469098,,,,,,24.8,21.48730159,18.18174603,18.81904762,17.21111111,22.20303408,19.66330776,17.19693826,17.80604796,17.02825641
ScotiaBarrens,P2,5/14/2020,NOVI,NR,BYYYOO,M,,42,,Y,0,2003200196,pos,299.2029494,,Missing fourth position mark. Incorrectly ID'd as BYYxOO. Changed to BYYYOO due to sex and measurements.,,1,Wrong animal?,,Long,205.7463258,1196.051667,0.172021269,,,,,,11.39444444,6.691269841,12.11269841,8.76031746,4.446825397,10.22633073,8.942712277,11.36282448,9.074887748,7.101473983
ScotiaBarrens,P1,5/15/2020,NOVI,D15,BRYORR,F,,38,,Y,0,2003200179,pos,34547.00322,,Incorrectly ID'd as xRYORR. Changed to BRYORR based on sex and measurements.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,9.893618056,8.476214782,10.69973909,8.904417163,6.990636409,19.25,7.092063492,11.52857143,9.654761905,5.149206349,11.33029271,9.019690799,11.29575211,9.323552232,7.170244742
