Site,SubSite,CaptureDate,Species,IndividualID,SVLmm,Sex,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
SMNWR_W,SMNWR3001,10/24/2017,AMCI,AC-182,80,F,A,14.74,N,,,,,,Gravid; HEAVIEST CAUGHT SO FAR!,0,0,,
SMNWR_W,SMNWR3001,10/29/2017,AMCI,AC-193,65,F,A,12.34,N,,,,,,Gravid,0,0,,
SMNWR_W,SMNWR3001,11/21/2017,AMCI,AC-091,68,F,A,11.15,N,,,,,,Recapture; Gravid,0,0,,
SMNWR_E,SMNWR1601,11/24/2017,AMCI,AC-207,68,F,A,10.71,Y,1,1603000292,,,,"Recapture; Gravid; AC-238 SVL 11/21/17 62mm mass 11/21/17 6.35g ; (11/16/18 note--KMO changed to AC-207, whose code would be easily confused with OPXP)",0,0,,
SMNWR_E,SMNWR1601,11/21/2017,AMCI,AC-234,73,F,A,10.59,Y,1,1603000235,,,,Gravid,0,0,,
SMNWR_W,SMNWR3001,10/28/2017,AMCI,AC-190,64,F,A,10.36,N,,,,,,Gravid,0,0,,
SMNWR_W,SMNWR3001,11/23/2017,AMCI,AC-248,70,F,A,9.94,N,,,,,,Gravid,0,0,,
SMNWR_W,SMNWR3001,10/29/2017,AMCI,AC-196,69,F,A,9.79,N,,,,,,Gravid,0,0,,
SMNWR_W,SMNWR3001,10/29/2017,AMCI,AC-192,65,F,A,9.73,N,,,,,,Gravid,0,0,,
SMNWR_W,SMNWR3001,10/29/2017,AMCI,AC-191,64,F,A,9.70,N,,,,,,Gravid,0,0,,
SMNWR_E,SMNWR1601,11/19/2017,AMCI,AC-228,63,F,A,9.59,Y,1,1603000229,,,,Gravid,0,0,,
SMNWR_E,SMNWR1601,10/29/2017,AMCI,AC-207,70,F,A,9.54,Y,1,1603000412,,,,Gravid,0,0,,
SMNWR_E,SMNWR1601,10/29/2017,AMCI,AC-039,71,F,A,9.27,N,,,,,,Recapture; did not swab,0,0,,
SMNWR_W,SMNWR3001,10/29/2017,AMCI,AC-199,64,F,A,9.20,Y,1,1603000404,,,,Gravid,0,0,,
SMNWR_E,SMNWR1601,1/7/2021,AMCI,AC-530,60,F,A,9.09,Y,0,1903700402,neg,0,,Gravid,0,0,,
SMNWR_E,SMNWR0145,11/19/2017,AMCI,AC-088,63,F,A,9.02,N,1,1603000223,,,,Recapture: Gravid,0,0,,
SMNWR_E,SMNWR0145,11/2/2017,AMCI,AC-039,68,F,A,8.78,N,1,1603000422,,,,Recapture; Graivd; swab 422 RECAP FROM 10/29/2017 WHEN AT 1601,0,0,,
SMNWR_W,SMNWR3001,11/19/2017,AMCI,AC-226,65,F,A,8.70,Y,1,1603000225,,,,Gravid,0,0,,
SMNWR_W,SMNWR3001,11/21/2017,AMCI,AC-242,67,F,A,8.36,N,,,,,,Gravid: pretty sure saw eggs when candled!,0,0,,
SMNWR_W,SMNWR3001,3/20/2018,AMCI,AC-199,69,F,A,8.1,Y,1,1701900005,,,,Recapture; Gravid; toes growing together; probably still gravid,0,0,,
