Site,SubSite,SUBDIST,SUBSITE,SUBCON,COUNTY,REGION,STATE,LAT,LONG,HYDRO,DRAWDOWN,CANOPY,VEG,SUB,WCOL,SULF,PRODUC
EmmaCarlin,1,1,Y,Y,Jefferson,MW,WI,42.870991,-88.547241,P,3,1,3,O,TB,N,O
EmmaCarlin,2,1,Y,N,Jefferson,MW,WI,42.871282,-88.546756,E,4,2,1,O,TB,N,O
EmmaCarlin,3,1,Y,N,Jefferson,MW,WI,42.871451,-88.547209,P,4,3,4,O,TB,N,O
MudLake,1,1,Y,N,Sheboygan,MW,WI,43.416846,-89.276810,P,3,1,2,O,TB,N,O
MudLake,2,1,Y,N,Sheboygan,MW,WI,43.415929,-89.276253,E,4,2,1,O,TB,N,O
MudLake,3,1,Y,N,Sheboygan,MW,WI,43.418418,-89.283169,E,4,4,3,O,TB,N,O
ScotiaBarrens,A11,1,Y,Y,Centre,NE,PA,40.779451,-78.001914,E,4,4,1,O,TB,N,O
ScotiaBarrens,P1,1,Y,Y,Centre,NE,PA,40.778000,-78.007700,E,4,3,1,O,TB,N,O
ScotiaBarrens,SC37,1,Y,Y,Centre,NE,PA,40.780310,-78.003850,E,4,3,2,O,TB,N,O
ScotiaBarrens,SC38,1,Y,Y,Centre,NE,PA,40.780850,-78.003390,E,4,4,1,O,TB,N,O
SPR,1,1,Y,N,Hampden,NE,MA,42.120761,-72.908288,E,3,2,2,O,TB,S,M
SPR,2,1,Y,N,Hampden,NE,MA,42.117412,-72.903569,E,4,4,2,O,TB,N,O
SPR,3,1,Y,N,Hampden,NE,MA,42.117590,-72.905900,E,4,4,1,O,TB,N,O
FoxCreek,P-850A,1,Y,Y,Mendocino,NoCal,CA,39.740289,-123.632231,P,1,3,1,I,C,N,O
FoxCreek,P-850B/C,1,Y,Y,Mendocino,NoCal,CA,39.742225,-123.627405,P,1,3,1,I,C,N,O
FoxCreek,P-850D,1,Y,Y,Mendocino,NoCal,CA,39.742892,-123.624143,P,1,3,1,I,C,N,O
SonomaMountain,P-899,NA,N,N,Sonoma,NoCal,CA,38.330268,-122.582072,P,2,1,1,O,B,S,O
