Site,SubSite,SUBDIST,SUBSITE,SUBCON,COUNTY,REGION,STATE,LAT,LONG,HYDRO,DRAWDOWN,CANOPY,VEG,SUB,WCOL,SULF,PRODUC
KettleMoraine,EmmaCarlin1,1,Y,Y,Jefferson,MW,WI,42.870991,-88.547241,P,3,1,3,O,TB,N,O
KettleMoraine,EmmaCarlin2,1,Y,N,Jefferson,MW,WI,42.871282,-88.546756,E,4,2,1,O,TB,N,O
KettleMoraine,EmmaCarlin3,1,Y,N,Jefferson,MW,WI,42.871451,-88.547209,P,4,3,4,O,TB,N,O
MudLake,MudLake1,1,Y,N,Sheboygan,MW,WI,43.416846,-89.276810,P,3,1,2,O,TB,N,O
MudLake,MudLake2,1,Y,N,Sheboygan,MW,WI,43.415929,-89.276253,E,4,2,1,O,TB,N,O
MudLake,MudLake3,1,Y,N,Sheboygan,MW,WI,43.418418,-89.283169,E,4,4,3,O,TB,N,O
ScotiaBarrens,A11,1,Y,Y,Centre,NE,PA,40.779451,-78.001914,E,4,4,1,O,TB,N,O
ScotiaBarrens,P1,1,Y,Y,Centre,NE,PA,40.778000,-78.007700,E,4,3,1,O,TB,N,O
ScotiaBarrens,SC37,1,Y,Y,Centre,NE,PA,40.780310,-78.003850,E,4,3,2,O,TB,N,O
ScotiaBarrens,SC38,1,Y,Y,Centre,NE,PA,40.780850,-78.003390,E,4,4,1,O,TB,N,O
ScotiaBarrens,B2,1,Y,Y,Centre,NE,PA,,,P,2,1,3,,,,
ScotiaBarrens,SC47,1,Y,Y,Centre,NE,PA,,,E,1,4,1,,,,
ScotiaBarrens,P2,1,Y,Y,Centre,NE,PA,,,E,1,2,1,,,,
ScotiaBarrens,A04,1,Y,Y,Centre,NE,PA,,,E,1,4,1,,,,
ScotiaBarrens,SC36,1,Y,Y,Centre,NE,PA,,,P,2,3,4,,,,
ScotiaBarrens,A05,1,Y,Y,Centre,NE,PA,,,E,1,4,1,,,,
ScotiaBarrens,P3,1,Y,Y,Centre,NE,PA,,,E,1,4,1,,,,
ScotiaBarrens,A10,1,Y,Y,Centre,NE,PA,,,E,1,4,1,,,,
ScotiaBarrens,SC48,1,Y,Y,Centre,NE,PA,,,E,1,4,1,,,,
Springfield,SPR1,1,Y,N,Hampden,NE,MA,42.120761,-72.908288,E,3,2,2,O,TB,S,M
Springfield,SPR2,1,Y,N,Hampden,NE,MA,42.117412,-72.903569,E,4,4,2,O,TB,N,O
Springfield,SPR3,1,Y,N,Hampden,NE,MA,42.117590,-72.905900,E,4,4,1,O,TB,N,O
FoxCreek,P-850A,1,Y,Y,Mendocino,NoCal,CA,39.740289,-123.632231,P,1,3,1,I,C,N,O
FoxCreek,P-850B/C,1,Y,Y,Mendocino,NoCal,CA,39.742225,-123.627405,P,1,3,1,I,C,N,O
FoxCreek,P-850D,1,Y,Y,Mendocino,NoCal,CA,39.742892,-123.624143,P,1,3,1,I,C,N,O
SonomaMountain,P-899,NA,N,N,Sonoma,NoCal,CA,38.330268,-122.582072,P,2,1,1,O,B,S,O
SummitMeadow,Y-029,2,Y,N,Mariposa,NoCal,CA,37.673073,-119.652549,E,4,1,2,O,C,N,O
SummitMeadow,Y-1526,2,Y,N,Mariposa,NoCal,CA,37.681135,-119.648664,E,4,1,2,O,C,N,O
SummitMeadow,Y-1526A,2,Y,N,Mariposa,NoCal,CA,37.681365,-119.648048,E,4,1,2,O,C,N,O
SummitMeadow,Y-1687,2,Y,N,Mariposa,NoCal,CA,37.678409,-119.650880,E,4,1,2,O,C,N,O
LittleThreeCreeks,1,1,Y,Y,Deschutes,PNW,OR,44.104747,-121.635093,P,1,2,2,I,C,N,M
LittleThreeCreeks,2,1,Y,Y,Deschutes,PNW,OR,44.102866,-121.640409,P,1,4,1,I,C,N,M
LittleThreeCreeks,3,1,Y,Y,Deschutes,PNW,OR,44.101420,-121.642228,P,1,1,1,I,C,N,M
DilmanMeadows,4,1,Y,N,Deschutes,PNW,OR,43.700572,-121.663596,E,4,1,3,O,C,S,E
DilmanMeadows,5,1,Y,N,Deschutes,PNW,OR,43.699560,-121.663283,P,2,1,3,O,C,S,E
DilmanMeadows,6,1,Y,N,Deschutes,PNW,OR,43.699350,-121.661550,P,2,1,3,O,C,S,E
DilmanMeadows,7,1,Y,N,Deschutes,PNW,OR,43.699636,-121.664460,E,4,1,3,O,C,S,E
JonesPond,JP,NA,N,N,Missoula,RMN,MT,46.896303,-113.441379,P,3,1,1,O,C,S,M
LostHorse,LH,NA,N,N,Ravalli,RMN,MT,46.097140,-114.264030,E,4,1,4,O,C,N,O
TwoMedicine,TM-47-1,1,Y,Y,Glacier,RMN,MT,48.479100,-113.369500,P,4,1,3,O,C,N,O
TwoMedicine,TM-47-2,1,Y,Y,Glacier,RMN,MT,48.478200,-113.370800,P,2,1,3,O,C,S,O
TwoMedicine,TM-47-3,1,Y,Y,Glacier,RMN,MT,48.479600,-113.368100,E,4,2,1,O,C,N,O
TwoMedicine,TM-47-5,1,Y,Y,Glacier,RMN,MT,48.477800,-113.373400,P,1,1,2,O,C,S,O
LilyPond,LP,NA,N,N,Larimer,RMS,CO,40.573900,-105.844366,E,4,1,4,O,C,N,O
MatthewsPond,MP,NA,N,N,Larimer,RMS,CO,40.595400,-105.845866,E,4,3,4,O,C,N,O
Blackrock,HE,2,Y,Y,Teton,RMS,WY,43.845270,-110.329800,P,2,3,2,O,C,N,O
Blackrock,ML,2,Y,Y,Teton,RMS,WY,43.831890,-110.355000,E,4,1,4,O,C,N,O
Blackrock,MW,2,Y,Y,Teton,RMS,WY,43.834067,-110.352063,E,4,2,3,O,C,N,M
Blackrock,OX,2,Y,Y,Teton,RMS,WY,43.834320,-110.346700,E,4,1,4,O,C,S,O
Blackrock,QU,2,Y,Y,Teton,RMS,WY,43.832940,-110.354700,E,4,1,4,O,C,S,M
Blackrock,SP,2,Y,Y,Teton,RMS,WY,43.829930,-110.354500,E,4,1,2,I,C,N,O
SMNWR_E,SMNWR1601,1,Y,Y,Wakulla,SE,FL,30.134574,-84.082756,E,4,1,4,I,TB,N,M
SMNWR_W,SMNWR3001,1,Y,Y,Wakulla,SE,FL,30.149727,-84.154066,E,4,1,4,I,TB,N,M
SanFrancisquito,SFC,NA,N,N,Los Angeles,SoCal,CA,34.546620,-118.513500,P,1,4,2,O,C,N,O
