SiteName,FriendlySiteName,SubSite,CaptureDate,Species,Sex,Age,SVLmm,MassG,SwabID,BdSample,SwabLost,BdResult,TargetCopies,HgSampleID,MeHg_conc_ppb,cort_base_conc,cort_base_cv,cort_stress_conc,cort_stress_cv,Notes,potential_injury_effect,flagged,reason,dead
JonesPond,JP,1,7/15/18,RALU,F,,80,54,1800200240,Y,,pos,40.59,18ARMI0622,161,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,M,,70,43.1,1800200251,Y,,pos,2480.66,18ARMI0590,469,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,82,67.5,1800200252,Y,,pos,75.78,18ARMI0602,140,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,M,,62,26.5,1800200253,Y,,pos,63.57,18ARMI0582,172,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,76,54.8,1800200254,Y,,neg,0,18ARMI0606,265,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,75,47.4,1800200255,Y,,neg,0,18ARMI0538,207,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,76,53.8,1602000052,Y,,pos,96.01,18ARMI0616,168,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,74,52.6,1602000053,Y,,pos,1005.83,18ARMI0612,66.8,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,68,38.9,1602000063,Y,,pos,270.57,18ARMI0572,138,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,73,42.5,1602000064,Y,,pos,2315.1,18ARMI0629,180,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,M,,67,34,1602000065,Y,,pos,8991.28,18ARMI0605,188,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,73,47.2,1602000047,Y,,pos,1363.61,18ARMI0621,157,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,M,,72,43.5,1602000048,Y,,pos,1831.04,18ARMI0541,249,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,`,78,51.5,1602000066,Y,,neg,0,18ARMI0547,212,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,78,58,1602000271,Y,,pos,1100.85,18ARMI0630,119,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,M,,70,37.4,1602000272,Y,,neg,0,18ARMI0604,175,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,M,,51,13.5,1602000273,Y,,,,18ARMI0536,145,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,64,35.5,1602000274,Y,,pos,1052.99,18ARMI0592,180,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,65,35.6,1602000275,Y,,pos,9555.53,18ARMI0540,271,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,77,50.4,1602000276,Y,,pos,53.36,18ARMI0558,177,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,83,55.9,1602000277,Y,,neg,0,18ARMI0533,163,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,76,44.9,1602000278,Y,,pos,2767.5,18ARMI0587,155,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,58,21.6,1602000279,Y,,pos,1232.35,18ARMI0548,229,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,M,,53,17.6,1602000280,Y,,pos,66640.75,18ARMI0559,127,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,76,47.7,1602000281,Y,,pos,38931.08,18ARMI0618,183,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,M,,73,49.4,1602000282,Y,,neg,0,18ARMI0607,142,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,M,,72,35,1602000283,Y,,pos,34.4,18ARMI0523,137,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,F,,60,24.3,1602000284,Y,,pos,138.24,18ARMI0625,235,,,,,,0,0,,
JonesPond,JP,1,7/15/18,RALU,M,,62,25.6,1602000285,Y,,pos,760.42,18ARMI0570,104,,,,,,0,0,,
