SurveyDescriptionID,StudyName,SiteName,FriendlySiteName,TaxaID,Genus,Species,CommonName,SurveyDate,Primary,Secondary,SpeciesDetected,BodyLength,Mass,AgeCode,Age,Sex,SexCode,MarkType,IDTypeDesc,AnimalMark/ID,CaptureNotes,Hg_barcode,TissueTypeID,TissueDesc,Swab_barcode,Bd,Ct_Bd,Bsal,Ct_Bsal,TissueMeHg,TotalHg,SiteID,IAID,TaxaObservationID,CollectionID_tissue,CollectionID_swab
802,"ARMI Disease Study, CMR, Midwest - Biology",Kettle Moraine State Forest EC1,EmmaCarlin1,173615,Notophthalmus,viridescens,Eastern Newt,5/21/19,2,2,Y,33,,A,Adult,Male,1,2,PIT tag,43000160574,Recap,19ARMI2447,14,Tailclip,1904600221,pos,36.073,"neg,neg,neg,neg",,21.6,,SiteID_GS\mwinzeler_687543197,IAID_GS\mwinzeler_688827522_382,TOID_GS\mwinzeler_688827522_382,CID_8F8CD633-6658-4068-88DE-232A733166E4.t,CID_8F8CD633-6658-4068-88DE-232A733166E4.s
802,"ARMI Disease Study, CMR, Midwest - Biology",Kettle Moraine State Forest EC1,EmmaCarlin1,173615,Notophthalmus,viridescens,Eastern Newt,5/21/19,2,2,Y,33,,A,Adult,Male,1,2,PIT tag,43000160574,Recap,19ARMI2447,14,Tailclip,1904600221,pos,23.937,"neg,neg,neg,neg",,21.6,,SiteID_GS\mwinzeler_687543197,IAID_GS\mwinzeler_688827522_382,TOID_GS\mwinzeler_688827522_382,CID_8F8CD633-6658-4068-88DE-232A733166E4.t,CID_8F8CD633-6658-4068-88DE-232A733166E4.s
802,"ARMI Disease Study, CMR, Midwest - Biology",Kettle Moraine State Forest EC1,EmmaCarlin1,173615,Notophthalmus,viridescens,Eastern Newt,5/21/19,2,2,Y,33,,A,Adult,Male,1,2,PIT tag,43000160574,Recap,19ARMI2447,14,Tailclip,1904600221,pos,35.480,"neg,neg,neg,neg",,21.6,,SiteID_GS\mwinzeler_687543197,IAID_GS\mwinzeler_688827522_382,TOID_GS\mwinzeler_688827522_382,CID_8F8CD633-6658-4068-88DE-232A733166E4.t,CID_8F8CD633-6658-4068-88DE-232A733166E4.s
802,"ARMI Disease Study, CMR, Midwest - Biology",Kettle Moraine State Forest EC1,EmmaCarlin1,173615,Notophthalmus,viridescens,Eastern Newt,5/21/19,2,2,Y,33,,A,Adult,Male,1,2,PIT tag,43000160574,Recap,19ARMI2447,14,Tailclip,1904600221,pos,37.601,"neg,neg,neg,neg",,21.6,,SiteID_GS\mwinzeler_687543197,IAID_GS\mwinzeler_688827522_382,TOID_GS\mwinzeler_688827522_382,CID_8F8CD633-6658-4068-88DE-232A733166E4.t,CID_8F8CD633-6658-4068-88DE-232A733166E4.s
802,"ARMI Disease Study, CMR, Midwest - Biology",Kettle Moraine State Forest EC1,EmmaCarlin1,173615,Notophthalmus,viridescens,Eastern Newt,5/21/19,2,2,Y,34,,A,Adult,Female,2,1,Pattern recognition,1904600222,Gravid,19ARMI2441,14,Tailclip,1904600222,pos,39.131,"neg,neg,neg,neg",,15.8,,SiteID_GS\mwinzeler_687543197,IAID_GS\mwinzeler_688827522_377,TOID_GS\mwinzeler_688827522_377,CID_401C20E9-1C1D-4E61-B8E0-6FB5CF34D0EF.t,CID_401C20E9-1C1D-4E61-B8E0-6FB5CF34D0EF.s
802,"ARMI Disease Study, CMR, Midwest - Biology",Kettle Moraine State Forest EC1,EmmaCarlin1,173615,Notophthalmus,viridescens,Eastern Newt,5/21/19,2,2,Y,34,,A,Adult,Female,2,1,Pattern recognition,1904600222,Gravid,19ARMI2441,14,Tailclip,1904600222,pos,38.461,"neg,neg,neg,neg",,15.8,,SiteID_GS\mwinzeler_687543197,IAID_GS\mwinzeler_688827522_377,TOID_GS\mwinzeler_688827522_377,CID_401C20E9-1C1D-4E61-B8E0-6FB5CF34D0EF.t,CID_401C20E9-1C1D-4E61-B8E0-6FB5CF34D0EF.s
802,"ARMI Disease Study, CMR, Midwest - Biology",Kettle Moraine State Forest EC1,EmmaCarlin1,173615,Notophthalmus,viridescens,Eastern Newt,5/21/19,2,2,Y,34,,A,Adult,Female,2,1,Pattern recognition,1904600222,Gravid,19ARMI2441,14,Tailclip,1904600222,neg,,"neg,neg,neg,neg",,15.8,,SiteID_GS\mwinzeler_687543197,IAID_GS\mwinzeler_688827522_377,TOID_GS\mwinzeler_688827522_377,CID_401C20E9-1C1D-4E61-B8E0-6FB5CF34D0EF.t,CID_401C20E9-1C1D-4E61-B8E0-6FB5CF34D0EF.s
802,"ARMI Disease Study, CMR, Midwest - Biology",Kettle Moraine State Forest EC1,EmmaCarlin1,173615,Notophthalmus,viridescens,Eastern Newt,5/21/19,2,2,Y,34,,A,Adult,Female,2,1,Pattern recognition,1904600222,Gravid,19ARMI2441,14,Tailclip,1904600222,pos,30.712,"neg,neg,neg,neg",,15.8,,SiteID_GS\mwinzeler_687543197,IAID_GS\mwinzeler_688827522_377,TOID_GS\mwinzeler_688827522_377,CID_401C20E9-1C1D-4E61-B8E0-6FB5CF34D0EF.t,CID_401C20E9-1C1D-4E61-B8E0-6FB5CF34D0EF.s
809,"ARMI Disease Study, CMR, Southwest, Northern California - Biology",Y-1526,Y-1526,775211,Rana,sierrae,Sierra Nevada Yellow-legged Frog,7/10/18,1,1,Y,79,61.1,A,Adult,Female,2,2,PIT tag,900043000132974,,,,,1700100663,pos,38.874,"neg,neg","0.000,0.000",,,SiteID_GS\pkleeman_657934597,IAID_GS\pkleeman_666905199_10,TOID_GS\pkleeman_666905199_10,,CID_C89CE0BC-1E37-480B-91E3-1D21D65A6BF4.s
809,"ARMI Disease Study, CMR, Southwest, Northern California - Biology",Y-1526,Y-1526,775211,Rana,sierrae,Sierra Nevada Yellow-legged Frog,7/10/18,1,1,Y,79,61.1,A,Adult,Female,2,2,PIT tag,900043000132974,,,,,1700100663,pos,34.023,"neg,neg","0.000,0.000",,,SiteID_GS\pkleeman_657934597,IAID_GS\pkleeman_666905199_10,TOID_GS\pkleeman_666905199_10,,CID_C89CE0BC-1E37-480B-91E3-1D21D65A6BF4.s
