MasterSite,SiteName,FriendlySiteName,Genus,Species,SPEC,SurveyDate,Primary,Secondary,SecNumConsec,Captures,Model,Reason
Atchafalaya,Atchafalaya NWR,LABY,Lithobates,clamitans,LICL,4/29/19,1,1,1,1,0,lack of data
Atchafalaya,Atchafalaya NWR,LABY,Lithobates,clamitans,LICL,5/1/19,1,2,2,1,0,lack of data
Atchafalaya,Atchafalaya NWR,LABY,Lithobates,clamitans,LICL,5/7/19,1,3,3,1,0,lack of data
Atchafalaya,Atchafalaya NWR,LABY,Lithobates,clamitans,LICL,10/17/19,2,1,4,1,0,lack of data
Atchafalaya,Atchafalaya NWR,LABY,Lithobates,clamitans,LICL,10/21/19,2,2,5,1,0,lack of data
Atchafalaya,Atchafalaya NWR,LABY,Lithobates,clamitans,LICL,10/23/19,2,3,6,1,0,lack of data
Atchafalaya,Atchafalaya NWR,LABY,Lithobates,clamitans,LICL,6/1/20,3,1,7,1,0,lack of data
Atchafalaya,Atchafalaya NWR,LABY,Lithobates,clamitans,LICL,6/4/20,3,2,8,1,0,lack of data
Atchafalaya,Atchafalaya NWR,LABY,Lithobates,clamitans,LICL,6/9/20,3,3,9,1,0,lack of data
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,5/29/18,1,2,1,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,5/30/18,1,3,2,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,5/31/18,1,4,3,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,5/22/19,1,1,4,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,5/28/19,1,2,5,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,6/4/19,1,3,6,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,5/13/20,1,1,7,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,5/28/20,1,2,8,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,6/9/20,1,3,9,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,5/18/21,1,1,10,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,5/29/21,1,2,11,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,5/31/21,1,3,12,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,5/27/22,1,1,13,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,6/3/22,1,2,14,1,1,
Blackrock,Heron,HE,Anaxyrus,boreas,ANBO,6/11/22,1,3,15,1,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,5/9/18,,,1,0,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,5/14/18,,,2,0,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,5/22/18,,,3,0,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,5/26/18,,,4,0,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,5/30/19,1,1,5,1,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,6/3/19,1,2,6,1,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,5/9/20,1,1,7,1,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,5/17/21,1,1,8,1,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,5/20/21,1,2,9,1,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,5/21/22,1,1,10,0,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,5/25/22,1,1,11,1,1,
Blackrock,Midway,MW,Anaxyrus,boreas,ANBO,6/1/22,1,2,12,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,5/9/18,1,1,1,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,5/13/18,1,2,2,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,5/14/18,1,3,3,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,5/18/18,1,4,4,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,5/22/18,1,5,5,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,6/8/19,1,1,6,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,5/9/20,1,1,7,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,5/25/21,1,1,8,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,5/26/21,1,2,9,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,5/27/21,1,3,10,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,6/1/21,1,4,11,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,5/23/22,1,,12,0,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,5/28/22,1,1,13,1,1,
Blackrock,Mitigation,ML,Anaxyrus,boreas,ANBO,6/5/22,1,2,14,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,5/29/18,1,1,1,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,6/2/18,1,2,2,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,6/3/18,1,3,3,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,6/3/19,1,1,4,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,6/6/19,1,2,5,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,5/12/20,1,1,6,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,5/27/20,1,2,7,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,5/17/21,1,1,8,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,5/20/21,1,2,9,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,5/27/21,1,3,10,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,5/21/22,1,1,11,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,5/25/22,1,2,12,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,6/1/22,1,3,13,1,1,
Blackrock,Oxbow,OX,Anaxyrus,boreas,ANBO,6/12/22,1,4,14,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/3/18,1,1,1,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/5/18,1,2,2,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/8/18,1,3,3,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/15/18,1,4,4,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/4/19,1,1,5,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/6/19,1,2,6,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/9/19,1,3,7,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/12/19,1,4,8,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/16/19,1,5,9,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/21/19,1,6,10,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/25/19,1,7,11,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/30/19,1,8,12,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/5/20,1,1,13,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/7/20,1,2,14,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/16/20,1,3,15,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/26/20,1,4,16,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/1/21,1,1,17,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/6/21,1,2,18,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/12/21,1,3,19,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/13/21,1,4,20,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/28/21,1,5,21,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,6/1/21,1,6,22,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/5/22,1,1,23,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/6/22,1,2,24,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/11/22,1,3,25,1,1,
Blackrock,Quarry,QU,Anaxyrus,boreas,ANBO,5/20/22,1,4,26,1,1,
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,5/8/18,1,1,1,1,1,
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,5/22/18,1,2,2,1,1,
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,5/26/18,1,3,3,1,1,
